symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ICK	2092.060594	0.484777267	0.425039368	1.140546742	0.254058591	0.668045174
CAAP1	382.1304256	-0.765292657	0.671192453	-1.140198542	0.254203595	0.668045174
LEPROT	4042.889515	0.392465886	0.344313543	1.139850271	0.254348686	0.668074947
UBA2	5199.976731	0.444068681	0.389544143	1.139970113	0.254298753	0.668074947
MRVI1	4381.601623	-0.48058083	0.421772841	-1.13943048	0.254523649	0.668303268
OTULIN	1335.785589	-0.526038214	0.461712156	-1.139320695	0.25456942	0.668303268
LHX6	986.2414845	0.629009417	0.552571722	1.138330812	0.254982373	0.669211488
ARHGAP35	11624.668	0.234978882	0.20647166	1.138068447	0.255091902	0.669323092
CETN2	725.6631811	0.630664218	0.554340921	1.137682955	0.255252893	0.66956963
SYDE2	638.1169617	0.592162274	0.520687071	1.13727094	0.255425039	0.669845292
TXNDC12	1814.687808	0.497203385	0.437474615	1.136530826	0.255734472	0.670068295
C16orf13	374.4200382	0.706895559	0.622648692	1.135304013	0.256247961	0.670068295
DOK4	526.7074273	0.635998417	0.559468321	1.136790759	0.255625767	0.670068295
RPS16	5069.407084	-0.322509895	0.283922652	-1.135907589	0.255995242	0.670068295
ZNF347	895.6498408	-0.530897129	0.467576399	-1.135423281	0.25619801	0.670068295
ODC1	1409.343529	0.502315679	0.442277635	1.135747411	0.256062292	0.670068295
DNMT3A	1554.108223	-0.495575162	0.436490223	-1.135363719	0.256222955	0.670068295
IMPDH2	3626.601411	0.461986619	0.406668191	1.136028411	0.255944674	0.670068295
SNX25	1042.187548	-0.693997947	0.610574797	-1.136630517	0.255692777	0.670068295
ISOC1	540.3810218	0.733958206	0.64589025	1.136351271	0.255809581	0.670068295
LAMA2	11491.05897	-0.332970215	0.293086666	-1.136081077	0.255922634	0.670068295
RPP30	587.1411048	0.639448003	0.563916571	1.133940791	0.256819385	0.670577284
FAM60A	431.8049028	-0.834378806	0.73586244	-1.133878781	0.256845399	0.670577284
MYL12B	10455.65521	-0.313795843	0.276661516	-1.134222955	0.256701037	0.670577284
FGD5	8014.849856	-0.291576282	0.25712698	-1.133977781	0.256803868	0.670577284
TBCA	524.8899391	-0.596676043	0.52616281	-1.134014095	0.256788636	0.670577284
C7orf73	364.0925977	-0.798858263	0.704381451	-1.134127341	0.256741136	0.670577284
DDB1	9315.655346	0.280827373	0.24806751	1.132060273	0.257609095	0.67232971
FBXL18	916.8454829	0.708306775	0.62573478	1.131960053	0.257651229	0.67232971
DARS2	751.4267365	0.656014727	0.579921845	1.131212304	0.257965744	0.672709153
FBXO21	2395.605052	-0.465077849	0.411248804	-1.130891673	0.258100688	0.672709153
STX16	819.8673179	-0.576141671	0.509428081	-1.130957819	0.258072846	0.672709153
SMIM3	1088.346372	0.853648755	0.755004346	1.130654094	0.25820071	0.672709153
TPBG	357.0608651	0.878531784	0.77674228	1.131046688	0.258035441	0.672709153
PLEKHF2	587.6540021	0.740478834	0.654842192	1.130774473	0.258150027	0.672709153
ZFYVE27	787.0783402	-0.620263044	0.548769652	-1.130279421	0.258358503	0.672769314
PCDHB16	1068.814192	-0.566158006	0.500864155	-1.130362395	0.258323553	0.672769314
ECM1	550.9258681	0.871140708	0.771228152	1.129549934	0.258665918	0.673218825
PCBP2	24384.63291	0.282165982	0.24979267	1.129600726	0.258644505	0.673218825
CCNT2	2001.192105	-0.424482315	0.375904404	-1.12922943	0.258801062	0.673395105
ARID3A	446.9234729	0.773683181	0.685660755	1.12837606	0.259161134	0.674156397
CC2D1A	1246.151267	-0.577799518	0.512289938	-1.127875983	0.259372298	0.674530041
BUB3	1193.58624	-0.557590509	0.494545229	-1.127481322	0.259539033	0.674765566
MSI2	527.6984879	0.784924505	0.696261289	1.127341874	0.259597965	0.674765566
GPM6B	5710.376001	-0.87615379	0.777530469	-1.126841745	0.259809397	0.675139456
CCND1	13079.91882	0.291824772	0.259144491	1.126108339	0.260119665	0.67538315
SERPINA3	1089.328963	-0.721864712	0.641089032	-1.125997602	0.260166534	0.67538315
PPP3R1	5093.752172	0.350559531	0.311301249	1.126110261	0.260118851	0.67538315
MAP3K13	682.7932096	-0.597002792	0.53020688	-1.125980845	0.260173627	0.67538315
ZBTB7B	2324.489494	0.44674081	0.397062524	1.125114518	0.26054051	0.675748915
ZNF143	771.190734	0.557058166	0.495229024	1.124849594	0.260652775	0.675748915
NABP2	480.696047	0.831690423	0.739282474	1.124996809	0.260590387	0.675748915
RABEP2	487.5408712	-0.670827562	0.596159271	-1.125248897	0.260483578	0.675748915
DAPK3	2235.126061	-0.363899967	0.323356834	-1.12538202	0.260427187	0.675748915
MS4A6A	664.001025	0.816983125	0.726844217	1.124014068	0.261007058	0.675894682
CORO1B	1958.868608	-0.524414391	0.466416539	-1.124347761	0.260865524	0.675894682
HGS	3061.716767	-0.353244021	0.314260353	-1.124048954	0.260992259	0.675894682
CDC42EP1	2334.256454	-0.454490795	0.404380323	-1.123919165	0.26104732	0.675894682
TRIM26	1871.513178	-0.515476945	0.458515651	-1.124229771	0.260915563	0.675894682
MSN	29616.87844	0.28004495	0.249279859	1.123415868	0.261260914	0.676272419
RNASEH1	1295.449367	0.452719126	0.40316767	1.122905329	0.261477704	0.676658234
ABL2	3490.184171	-0.446782178	0.398819696	-1.120261068	0.262602527	0.676755626
KIAA1549L	1120.394585	-0.693901135	0.618981282	-1.121037348	0.262271965	0.676755626
ALKBH8	475.1383978	0.772272604	0.689725696	1.119680778	0.262849819	0.676755626
ANKRD10	3268.66805	-0.556773359	0.496750101	-1.120831901	0.262359422	0.676755626
NPC2	907.2213645	0.599292492	0.535213871	1.119725262	0.262830857	0.676755626
ACTC1	555.002178	-0.870495377	0.776270275	-1.121381825	0.262125369	0.676755626
TSR1	1311.297822	0.622394682	0.555247007	1.120932979	0.262316392	0.676755626
ZBTB14	1503.453896	-0.514674897	0.459717814	-1.119545253	0.262907597	0.676755626
CCDC97	1281.693772	0.540202358	0.482606362	1.119343631	0.262993569	0.676755626
RNF149	747.0278228	-0.524260742	0.467665214	-1.121017186	0.262280547	0.676755626
HOXD8	725.5301544	-0.616484946	0.550397351	-1.120072515	0.262682862	0.676755626
CHMP4B	2454.83884	-0.412570747	0.368166499	-1.120609147	0.26245427	0.676755626
ALG12	772.7990032	-0.638737105	0.569601628	-1.121375141	0.262128213	0.676755626
TMEM175	946.3730035	-0.519233637	0.463945642	-1.119169123	0.263067995	0.676755626
KIAA0232	5385.369424	0.302509917	0.270340195	1.118997184	0.263141341	0.676755626
TMEM150C	395.7271677	0.715524293	0.639156285	1.119482527	0.262934341	0.676755626
LINC01184	472.662309	-0.773475027	0.68953524	-1.121733861	0.261975615	0.676755626
FAM135A	1389.509344	-0.429833429	0.384069554	-1.119155176	0.263073944	0.676755626
PLEKHG1	2163.011919	0.461649114	0.411696143	1.121334562	0.262145479	0.676755626
RPS6KA2	6106.764487	-0.283324432	0.252848286	-1.120531354	0.262487399	0.676755626
EPHX2	807.3471424	0.656596909	0.586675512	1.119182402	0.263062331	0.676755626
SDCBP	6379.884902	-0.303850292	0.271002654	-1.12120781	0.262199416	0.676755626
INVS	1964.347171	0.539465701	0.481495437	1.120396289	0.262544925	0.676755626
KDM5C	5365.410148	-0.362748275	0.323567324	-1.121090568	0.262249313	0.676755626
TROVE2	2533.003518	0.440229411	0.393577142	1.11853399	0.263338998	0.676827798
MTR	7143.786113	-0.26856796	0.240635619	-1.116077331	0.264389035	0.676827798
INCENP	631.8385646	-0.715347595	0.640654758	-1.116588281	0.264170405	0.676827798
TMTC2	728.4707912	-0.867964653	0.777571559	-1.116250515	0.264314917	0.676827798
LTBP2	12698.68116	-0.330079165	0.295221316	-1.118073619	0.263535553	0.676827798
INO80E	614.7261446	-0.790689706	0.708174454	-1.116518256	0.26420036	0.676827798
MMP15	2079.128773	-0.596219466	0.533786758	-1.11696189	0.26401062	0.676827798
SGSM2	1916.775241	-0.456962279	0.409322681	-1.116386411	0.264256768	0.676827798
ULK2	1523.866858	-0.461322885	0.413233631	-1.116373041	0.264262488	0.676827798
CYTH1	2783.694949	-0.361661253	0.323594809	-1.11763614	0.263722427	0.676827798
GCFC2	1115.942938	0.561723544	0.502094549	1.118760492	0.263242331	0.676827798
GTDC1	1276.96619	0.596662666	0.534545064	1.116206483	0.26433376	0.676827798
OSBPL2	2235.908857	0.413216911	0.369702347	1.117701617	0.263694452	0.676827798
PARP3	554.502245	0.727701883	0.651924861	1.116235822	0.264321205	0.676827798
NAF1	570.4020361	0.698323582	0.624391166	1.118407212	0.263393116	0.676827798
SLC39A14	1082.520514	0.478741781	0.428924095	1.116145692	0.264359776	0.676827798
PDLIM2	1032.255554	-0.477567381	0.427277295	-1.117698943	0.263695594	0.676827798
GOLGA7	1019.377166	0.484396711	0.433950244	1.116249428	0.264315382	0.676827798
ANAPC4	798.2811635	-0.544663712	0.488224167	-1.115601703	0.264592663	0.676877904
EFHC1	597.8817338	-0.678761451	0.608387249	-1.115673367	0.264561975	0.676877904
CNTNAP3	447.0696538	-0.729136671	0.653607844	-1.115556795	0.264611895	0.676877904
SLBP	978.7359264	0.620840097	0.556631457	1.115352159	0.264699542	0.676928757
NKD1	1833.009995	-0.446124099	0.400107941	-1.115009358	0.264846411	0.677130997
HIF1A	4048.350485	0.354651348	0.318146604	1.114741894	0.264961043	0.677250731
MMAB	729.1325669	0.541955698	0.486270589	1.114514655	0.265058461	0.677291807
NHLRC3	1624.663562	0.541892763	0.486338331	1.11423001	0.265180524	0.677291807
RPL10A	3590.514809	-0.351374268	0.315328415	-1.114312098	0.265145319	0.677291807
B4GALT1	4177.041766	0.434657502	0.390638047	1.112686042	0.265843292	0.678811004
PALMD	10531.54181	0.306801148	0.27629788	1.110399934	0.266826727	0.679543163
SFMBT2	1028.767549	-0.541112475	0.487351058	-1.110313533	0.266863944	0.679543163
GLUD1P3	363.9209021	-0.756498622	0.681361595	-1.110274818	0.266880621	0.679543163
NRGN	651.0745657	0.759829464	0.684273139	1.11041837	0.266818786	0.679543163
TSPAN31	575.3467033	0.626523943	0.564269282	1.11032793	0.266857742	0.679543163
ADAMTS7	810.3384659	-0.713097977	0.642115631	-1.110544491	0.266764467	0.679543163
MIR22HG	1355.751425	0.484178079	0.436102753	1.110238529	0.266896254	0.679543163
NFE2L1	19590.94988	0.303343454	0.273290743	1.109966079	0.267013644	0.679543163
ZNF791	1108.397313	-0.489422499	0.440927111	-1.109985044	0.267005471	0.679543163
NFS1	468.1947243	0.66288397	0.597045788	1.110273256	0.266881294	0.679543163
ARFGAP1	1633.780018	-0.494426102	0.445112661	-1.110788674	0.266659323	0.679543163
GAS2L1	857.8936139	0.59995159	0.540514308	1.109964307	0.267014407	0.679543163
MASP1	505.948619	0.715037428	0.643277404	1.111553776	0.266330056	0.679543163
FAM53B	4476.606	-0.38942022	0.350964624	-1.109571148	0.26718387	0.679628132
APEX1	1550.720489	0.462477133	0.41676844	1.109674076	0.267139498	0.679628132
COMMD9	697.9374637	0.716494242	0.645928965	1.109246187	0.267323993	0.679736177
PARD3B	8794.403055	-0.293585466	0.264692425	-1.109157038	0.267362443	0.679736177
C14orf159	1684.593729	0.443547619	0.400146221	1.108463846	0.267661545	0.679977409
GABARAP	2794.294599	0.377858747	0.340790362	1.108771812	0.267528634	0.679977409
LOC284801	7720.447606	-0.58104438	0.524138139	-1.108571075	0.267615262	0.679977409
TGFBRAP1	1977.965996	-0.429662841	0.387702863	-1.108227157	0.267763725	0.680064035
MBIP	913.6023013	-0.706021307	0.637436289	-1.107595094	0.268036723	0.680411392
CDK5RAP3	1520.072883	-0.51870367	0.468249377	-1.107750902	0.267969409	0.680411392
ADAMTS14	1255.968203	-0.838317802	0.757643049	-1.106481216	0.26851829	0.681287579
NDUFS4	2128.05456	0.364205853	0.32915168	1.106498537	0.268510797	0.681287579
ZNF35	659.2841901	-0.546863003	0.494312183	-1.106310995	0.268591934	0.68130138
ARID3B	449.2406652	0.693141557	0.626652514	1.106101933	0.268682402	0.681357836
LIG3	1450.455319	-0.412805292	0.37333467	-1.105724501	0.268845782	0.681599116
ARL3	701.1785796	-0.642651002	0.581371448	-1.105405166	0.268984066	0.681625127
WARS	4684.638421	0.307856432	0.278640314	1.104852445	0.269223531	0.681625127
SDK2	1134.744937	-0.707051664	0.639938432	-1.104874515	0.269213967	0.681625127
NAPA	2007.171258	0.366839459	0.332054828	1.104755686	0.269265467	0.681625127
SUN2	12971.2162	0.237615417	0.215051659	1.1049225	0.269193172	0.681625127
GPAA1	2164.48058	0.452678644	0.409660173	1.105010135	0.269155198	0.681625127
NME7	365.9249337	-0.813683016	0.736694278	-1.104505683	0.26937384	0.6817267
CHD1L	545.846683	-0.7342189	0.666072379	-1.102310986	0.270326495	0.682185719
LOC100130992	375.0734877	-0.675364891	0.611801424	-1.103895586	0.269638434	0.682185719
R3HCC1L	741.4758316	-0.686944563	0.62309717	-1.102467794	0.270258352	0.682185719
AMIGO2	1164.403236	-0.555939659	0.50414667	-1.102733969	0.27014271	0.682185719
CNPY2	358.7035825	-0.731596398	0.663653569	-1.102376951	0.270297828	0.682185719
PKM	15095.3789	-0.310053853	0.281125778	-1.102900828	0.270070235	0.682185719
SAE1	1957.302199	0.451888478	0.409638629	1.103139317	0.269966669	0.682185719
ZNF83	1372.91966	-0.610655424	0.553601207	-1.10306014	0.270001049	0.682185719
SPR	376.9993515	0.703811304	0.63804042	1.10308263	0.269991283	0.682185719
TRPC4AP	3491.59403	0.511531236	0.463775867	1.102970793	0.270039849	0.682185719
GNL3	1541.589395	0.450834023	0.409031055	1.102199986	0.270374738	0.682185719
HERC6	805.4670557	-0.638985245	0.579366054	-1.102904183	0.270068777	0.682185719
ZBTB45	421.3803739	-0.839347215	0.761918316	-1.101623622	0.270625334	0.682645572
BMS1P4	493.8742669	0.628050322	0.57118018	1.099566028	0.27152125	0.683631447
SDHD	657.0987756	0.668863597	0.608195268	1.0997514	0.271440453	0.683631447
CEMIP	685.9525389	-0.598875876	0.544695701	-1.099468703	0.271563678	0.683631447
OSBPL10	1522.406938	-0.425018636	0.386429574	-1.099860531	0.271392894	0.683631447
PBRM1	7016.513576	0.30307352	0.275496006	1.100101319	0.271287979	0.683631447
SBDS	5412.454963	-0.363916468	0.330904218	-1.099763764	0.271435064	0.683631447
ORAI2	624.7076577	0.608826019	0.553471605	1.100013105	0.271326412	0.683631447
TRO	450.4582974	-0.788300105	0.716878804	-1.09962814	0.271494176	0.683631447
PPFIA2	382.8472633	-0.782856475	0.712185738	-1.099230766	0.271667422	0.683720303
ABCC4	784.1193287	0.690940072	0.628940749	1.098577368	0.271952454	0.684265255
BLZF1	843.3929149	0.666827521	0.607622179	1.097437757	0.272450076	0.684978953
B3GNT1	975.5885708	-0.482742287	0.439872118	-1.097460527	0.272440127	0.684978953
ZNF175	595.4221465	-0.67832048	0.618172477	-1.097299711	0.272510397	0.684978953
SYBU	905.6616142	-0.536892074	0.489188913	-1.097514805	0.272416412	0.684978953
FH	761.0418053	0.671542175	0.612284589	1.096781117	0.272737086	0.68506793
ARHGAP17	4429.904952	-0.383534293	0.349701366	-1.096748056	0.272751543	0.68506793
SLC9A3R1	1126.575817	-0.571354513	0.520857783	-1.096949171	0.272663612	0.68506793
GLCCI1	457.3440661	0.852362742	0.777977914	1.095613033	0.273248156	0.686142742
PSMC3	1845.418684	-0.418139447	0.381982643	-1.09465562	0.273667538	0.686183268
IFT81	639.683224	-0.737969581	0.674106024	-1.09473815	0.27363137	0.686183268
FLYWCH2	378.0636287	-0.643897751	0.588415484	-1.094290969	0.273827385	0.686183268
HSDL1	422.4808613	-0.759305818	0.694092291	-1.093955124	0.27397466	0.686183268
MYO1C	24568.86737	0.280723129	0.256375226	1.094969796	0.273529869	0.686183268
GAA	2031.740437	0.416029919	0.380214352	1.094198359	0.273867991	0.686183268
NDUFA13	1080.688847	0.505716824	0.462120383	1.094340008	0.273805885	0.686183268
KIF16B	2884.427483	-0.405954034	0.37112339	-1.093851923	0.274019927	0.686183268
CCR1	363.615888	0.851425228	0.777716541	1.094775774	0.273614882	0.686183268
NDUFAF3	368.0085963	0.664679086	0.607494016	1.094132729	0.27389677	0.686183268
FAM13B	3006.957213	-0.320886107	0.293153035	-1.09460271	0.273690728	0.686183268
PDE4B	589.8299114	0.843714374	0.771748465	1.093250473	0.274283842	0.686340777
KRAS	2040.307321	-0.488498368	0.44709189	-1.092612904	0.274563795	0.686340777
REXO1	1544.238011	-0.476442655	0.435864606	-1.093097829	0.274350849	0.686340777
SMYD5	754.9234739	0.57602391	0.526817554	1.09340303	0.274216884	0.686340777
C7orf26	638.6457249	0.580421662	0.531138781	1.092787201	0.274487243	0.686340777
CDK14	2497.669191	-0.4247312	0.388570377	-1.093061195	0.274366932	0.686340777
PRRG1	1465.487368	0.438582129	0.401373364	1.092703624	0.274523948	0.686340777
PXK	860.0169494	0.500737488	0.458449029	1.092242445	0.274726551	0.686575811
CCDC86	529.3480457	0.688782207	0.630719051	1.09205867	0.274807314	0.686605868
TMX3	2614.509682	0.417247547	0.382170507	1.091783744	0.274928166	0.68671492
HCP5	853.5827463	0.607458637	0.556460877	1.091646622	0.274988455	0.68671492
ZC3H18	1431.545016	-0.501916957	0.459884679	-1.09139743	0.275098043	0.686734048
KIAA2022	388.3786411	-0.848993299	0.777953281	-1.091316561	0.275133613	0.686734048
ARRDC4	2108.159606	0.421231322	0.38615763	1.090827396	0.275348839	0.686756443
SOCS6	1917.553764	-0.516723562	0.473672957	-1.090886769	0.27532271	0.686756443
NDST1	9075.651687	0.258433841	0.236894684	1.090922919	0.275306801	0.686756443
ZNF496	1405.016307	-0.503526886	0.462255936	-1.089281601	0.276029724	0.686861699
EFEMP2	2247.996923	0.399670191	0.366949116	1.089170605	0.276078659	0.686861699
BACE1	4579.783053	0.308360182	0.282999496	1.089613894	0.27588326	0.686861699
DDIT3	730.2085179	0.600915478	0.551438483	1.089723508	0.275834958	0.686861699
ANAPC5	3068.405486	-0.356809376	0.327242304	-1.09035223	0.275558016	0.686861699
ADNP2	1901.49538	-0.46097319	0.422777288	-1.090345208	0.275561108	0.686861699
ICAM1	1371.507765	-0.497782418	0.457005044	-1.089227405	0.276053617	0.686861699
TMSB10	5616.829191	-0.28450517	0.261170655	-1.089345854	0.276001399	0.686861699
COQ10B	900.5738853	0.559252849	0.513215944	1.089702795	0.275844084	0.686861699
CNPY4	528.4382548	0.715770719	0.657151348	1.089202239	0.276064712	0.686861699
CALCRL	3315.087935	0.371088887	0.34093551	1.08844305	0.276399565	0.687488858
EML1	2436.941657	-0.465462774	0.427818779	-1.087990514	0.276599295	0.687814379
EPG5	2349.270319	0.384257529	0.353465508	1.087114639	0.276986149	0.688604939
IBA57	906.9080228	-0.589968327	0.543207429	-1.08608295	0.277442295	0.688710508
USP5	2165.560369	0.526249546	0.484361995	1.086479846	0.277266753	0.688710508
GNB5	361.7444461	0.703844012	0.647939263	1.086280847	0.277354758	0.688710508
ZFHX3	15539.16161	-0.242694028	0.223304197	-1.086831467	0.277111298	0.688710508
HMGB2	1025.087443	-0.527641251	0.485761877	-1.086213792	0.277384417	0.688710508
MKLN1	4995.831488	-0.38741157	0.356701686	-1.086094023	0.277437396	0.688710508
DENND4B	1599.984201	0.446907117	0.411711902	1.085485057	0.277706878	0.689196027
PPAP2B	8509.398085	0.313926376	0.289317283	1.085059189	0.277895441	0.689321471
WIPF2	2691.283409	0.3314862	0.305481182	1.085128053	0.277864944	0.689321471
DMXL2	2645.535478	0.337510103	0.311124749	1.084806348	0.278007433	0.689428067
IFFO2	1094.262523	0.56307955	0.51944038	1.084011893	0.278359526	0.690120325
GAS6	12702.49542	-0.431929611	0.398566048	-1.083708995	0.278493846	0.690120325
FBXW11	1805.752307	-0.457281445	0.421928215	-1.083789681	0.278458062	0.690120325
NDRG2	3150.74645	-0.345769045	0.319151058	-1.08340247	0.27862982	0.69028603
S100A16	1162.899907	0.454704796	0.420270641	1.081933286	0.279282173	0.691559154
PPIB	3144.382767	0.353389333	0.326586425	1.082069877	0.27922148	0.691559154
PLA2G2A	1604.280586	0.760028847	0.702616056	1.081712894	0.279380122	0.691573683
LEPROTL1	710.407495	0.644328252	0.595712984	1.081608541	0.279426508	0.691573683
ALKBH3	1154.2014	-0.471309077	0.43591102	-1.081204777	0.279606034	0.691651427
TMEM127	2453.895237	0.330749987	0.305946662	1.081070749	0.279665644	0.691651427
TIPARP	1342.222279	0.447784934	0.414131685	1.081262195	0.279580499	0.691651427
MICU3	483.5730075	-0.839997797	0.777591528	-1.080255849	0.280028264	0.692376815
ZC3H11A	7932.763072	-0.231834412	0.214742676	-1.079591703	0.280324038	0.69285946
HLA-H	3130.313433	0.604725858	0.560187551	1.079506064	0.280362192	0.69285946
ARF1	10068.5488	-0.291739715	0.27043472	-1.078780545	0.280685569	0.693351737
PLBD1	563.9218139	0.631943327	0.586036498	1.078334419	0.280884542	0.693351737
ST3GAL2	1490.307869	0.434729885	0.403285804	1.077969718	0.28104727	0.693351737
TTPAL	880.5512398	0.487918618	0.452367685	1.078588577	0.280771176	0.693351737
PLCXD3	661.8191067	0.635553069	0.589392938	1.078318093	0.280891826	0.693351737
DMTF1	1904.442368	-0.476404104	0.441888337	-1.078109703	0.280984802	0.693351737
ABCF2	1968.856257	0.386619088	0.358593653	1.078153738	0.280965153	0.693351737
NADK	4284.072593	0.338679641	0.314334685	1.077449157	0.281279653	0.693415332
CROCCP2	468.5200219	-0.623045094	0.578484134	-1.077030565	0.281466611	0.693415332
KPNA6	4286.287446	0.319662577	0.297330454	1.075108767	0.282326035	0.693415332
KIAA0319L	2610.300149	-0.392158018	0.364995496	-1.074418787	0.282635026	0.693415332
C1orf52	491.0171544	0.685531036	0.638100972	1.074330028	0.282674791	0.693415332
BCAR3	1012.55026	-0.542822484	0.503944563	-1.077147219	0.281414501	0.693415332
C1orf43	3254.835603	0.31003471	0.288516698	1.074581512	0.282562133	0.693415332
STAT6	9171.663099	-0.230279621	0.214068759	-1.075727363	0.282049206	0.693415332
TGFB3	1708.814698	0.465052293	0.432437391	1.075421097	0.28218624	0.693415332
VPS53	2858.492396	0.330583219	0.307581256	1.074783371	0.282471727	0.693415332
CCDC102B	505.2685468	0.665389457	0.618133161	1.076450026	0.281726039	0.693415332
UBE2E3	1273.370418	0.441254559	0.409937079	1.076395823	0.28175027	0.693415332
ITGAV	7637.140566	-0.271830516	0.252926885	-1.074739511	0.282491369	0.693415332
CLEC3B	9527.23656	0.325277663	0.302092184	1.076749681	0.281592111	0.693415332
PDHB	2136.95721	0.436995091	0.406115082	1.076037583	0.281910448	0.693415332
NEK1	2011.859341	-0.521473439	0.484364424	-1.076613834	0.281652821	0.693415332
SDHA	3282.30637	0.451290757	0.42012326	1.074186554	0.282739078	0.693415332
MCM3	2016.39182	0.440630685	0.410189809	1.074211682	0.282727818	0.693415332
EIF3B	4629.498535	0.30904175	0.287574921	1.074647778	0.282532452	0.693415332
BUD31	1368.051991	0.559565294	0.520033526	1.07601773	0.281919327	0.693415332
GCC1	763.0774347	0.641410689	0.595397636	1.077281215	0.281354652	0.693415332
LINC01000	2244.975634	-0.467428655	0.43502141	-1.074495748	0.282600549	0.693415332
FAM122A	872.105902	0.608568435	0.565731727	1.075719119	0.282052894	0.693415332
SHROOM4	3482.742627	-0.293659747	0.273314411	-1.07443931	0.282625832	0.693415332
MTMR14	2395.3994	0.372698462	0.347040341	1.073934117	0.282852211	0.693498995
SSBP1	387.7322395	-0.652878115	0.608006824	-1.073800638	0.282912044	0.693498995
RCAN3	658.177263	-0.62997995	0.586955377	-1.073301268	0.283135966	0.693877618
EFCAB14	9562.224062	0.248201438	0.231386291	1.07267132	0.283418613	0.694107065
GLIPR1	650.2079588	0.828537442	0.772548381	1.07247321	0.283507541	0.694107065
ZSCAN18	2528.161544	-0.487011378	0.454070379	-1.072546021	0.283474855	0.694107065
PPP3CA	3152.256179	0.461741175	0.430511524	1.072540801	0.283477198	0.694107065
BICC1	2325.79029	-0.369409265	0.344519996	-1.072243324	0.283610756	0.69418962
ST7L	931.925046	0.638231927	0.595653684	1.07148154	0.283952967	0.694516695
ABHD2	6392.984734	0.30029778	0.280224258	1.071633774	0.283884557	0.694516695
B4GALT6	533.1121347	0.667661568	0.622970749	1.07173823	0.283837624	0.694516695
WASH3P	383.835577	-0.71104229	0.663738124	-1.071269322	0.28404835	0.694579918
WDR27	502.2624324	-0.727544101	0.679616543	-1.070521471	0.28438465	0.695061969
SMIM19	451.3726799	0.82690428	0.772411045	1.070549529	0.284372028	0.695061969
LINC01140	437.9590265	0.816157987	0.762942357	1.069750525	0.284731617	0.695507575
ERLIN1	1994.75793	0.41310052	0.386146335	1.069803032	0.284707977	0.695507575
FAU	6917.374961	-0.33640886	0.314503007	-1.069652284	0.284775852	0.695507575
UCP2	716.6438664	0.603459283	0.564396971	1.069210703	0.284974737	0.695526937
SPCS2	608.9023393	-0.635366654	0.594261079	-1.069170903	0.284992667	0.695526937
GPR56	1488.338558	-0.456571316	0.427014738	-1.069216763	0.284972007	0.695526937
GOLGA5	2843.549682	0.37837176	0.354056142	1.068677297	0.285215105	0.695899776
FNBP4	3873.59192	-0.383444386	0.358876192	-1.068458689	0.285313656	0.695970233
COX6B1	1057.213243	0.480245691	0.44963905	1.068069358	0.285489227	0.696058552
CNOT3	1232.031506	-0.425498948	0.398364529	-1.068114545	0.285468845	0.696058552
RAB5B	6252.830806	-0.258036592	0.241643901	-1.067838218	0.285593495	0.696142856
FAM134C	2131.620457	0.404394959	0.378825716	1.067496058	0.285747893	0.696338105
MIER2	636.6208805	-0.556486491	0.521371215	-1.067351773	0.285813017	0.696338105
CREBL2	2434.971411	0.387847685	0.363674533	1.066469193	0.286211598	0.696558158
FGD6	1699.94162	-0.43235628	0.405423404	-1.066431478	0.286228638	0.696558158
GMFB	1594.535711	0.447225805	0.419582273	1.065883459	0.286476327	0.696558158
FBXO34	1035.607085	0.453758629	0.425340145	1.066813546	0.28605604	0.696558158
PSMA3	905.2772679	-0.523926773	0.491653344	-1.065642653	0.28658521	0.696558158
TBC1D10B	1976.546282	0.434268915	0.407356484	1.066066042	0.286393789	0.696558158
ZNF845	511.2942893	-0.660561111	0.619496757	-1.066286633	0.28629409	0.696558158
P2RY14	642.8810381	0.821686813	0.770097268	1.066990946	0.285975924	0.696558158
CBR4	519.101375	-0.708904467	0.665257906	-1.065608482	0.286600663	0.696558158
NRCAM	963.4702197	-0.691593692	0.648874542	-1.065835762	0.286497892	0.696558158
PWAR5	841.1848174	-0.564849378	0.530229396	-1.065292461	0.286743603	0.696698805
CREBRF	3542.451512	-0.332470242	0.312128173	-1.065172167	0.286798026	0.696698805
B4GALT5	1571.469411	0.429559146	0.403381393	1.064895788	0.286923091	0.696833153
TMEM134	380.5783616	0.653583496	0.614290234	1.063965305	0.287344417	0.697318807
MKS1	416.6159065	-0.731169241	0.687298681	-1.063830415	0.287405531	0.697318807
DPP9	1850.012306	-0.404809509	0.380416838	-1.064120901	0.287273933	0.697318807
RPL18	7791.101735	-0.294989116	0.277327906	-1.063683495	0.287472104	0.697318807
AP5Z1	1452.189462	-0.462696262	0.434779513	-1.064208981	0.287234039	0.697318807
PHF12	1829.090363	-0.410717602	0.386482639	-1.062706471	0.287915085	0.698223789
P4HA1	2088.668763	0.409865298	0.385870999	1.062182178	0.288152989	0.698631118
PI4K2A	1809.84969	0.396373802	0.373912076	1.060072215	0.289111747	0.700275762
NDUFV1	2381.547439	-0.422900922	0.398840949	-1.060324732	0.288996891	0.700275762
DYNLL1	1739.731532	0.48648495	0.458909765	1.060088469	0.289104353	0.700275762
ATP2A3	1638.854595	-0.412225127	0.38882349	-1.060185761	0.289060098	0.700275762
