"Term","padj","comparison","cell_type","gene_set","enrich_type","neg_log10_padj"
"regulation of cell-cell adhesion",0.00514624744440862,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.28850933566208
"cell migration",0.00514624744440862,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.28850933566208
"response to endogenous stimulus",0.00514624744440862,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.28850933566208
"cell motility",0.00730880511292572,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13615361829244
"positive regulation of multicellular organismal process",0.00730880511292572,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13615361829244
"regulation of epithelial to mesenchymal transition",0.00730880511292572,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13615361829244
"cellular response to fibroblast growth factor stimulus",0.00730880511292572,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13615361829244
"negative regulation of exit from mitosis",0.00730880511292572,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13615361829244
"cellular response to vitamin E",0.00730880511292572,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13615361829244
"response to fibroblast growth factor",0.00736409698898128,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.13288050024651
"cellular response to growth factor stimulus",0.00860541258146581,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.0652283028427
"collagen metabolic process",0.0088254628634267,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.05426250817689
"response to growth factor",0.0088254628634267,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.05426250817689
"blood vessel development",0.00885314339334988,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.05290250150541
"vasculature development",0.00970838026754608,"HFDvsSD","aggSC","Overlap_All3","richR_GO",2.01285322112641
"epithelial to mesenchymal transition",0.011548999708885,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.93745562960077
"regulation of anatomical structure morphogenesis",0.0119941325492211,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.92103115600873
"regulation of endothelial cell migration",0.0119941325492211,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.92103115600873
"cell-cell adhesion",0.0123964281280204,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.9067034332051
"positive regulation of macromolecule biosynthetic process",0.0140898103161487,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.85109485353397
"regulation of developmental process",0.0140898103161487,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.85109485353397
"enzyme-linked receptor protein signaling pathway",0.0140898103161487,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.85109485353397
"negative regulation of cell-cell adhesion",0.0146142016657192,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.83522490399061
"positive regulation of biosynthetic process",0.0146142016657192,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.83522490399061
"anatomical structure morphogenesis",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"endothelial cell migration",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"positive regulation of cellular process",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"mesenchymal cell differentiation",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"sensory perception of sound",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"positive regulation of macromolecule metabolic process",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"cellular response to transforming growth factor beta stimulus",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"circulatory system development",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"muscle cell proliferation",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"anatomical structure formation involved in morphogenesis",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"response to transforming growth factor beta",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"positive regulation of biological process",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"regulation of multicellular organismal process",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"response to abiotic stimulus",0.0148464518666009,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.82837732539556
"cellular response to endogenous stimulus",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"sensory perception of mechanical stimulus",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"regulation of angiogenesis",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"extracellular matrix organization",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"external encapsulating structure organization",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"extracellular structure organization",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"regulation of vasculature development",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"mesenchyme development",0.0151517306203554,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.81953775950851
"positive regulation of metabolic process",0.0170528567312076,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.76820285663191
"response to steroid hormone",0.0172982213644142,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.76199854954932
"positive regulation of developmental process",0.0176343767502399,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.75363988494545
"regulation of multicellular organismal development",0.018707046862532,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.72799476581549
"regulation of epithelial cell proliferation",0.0205906604196246,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.68632972370742
"response to oxygen levels",0.0205906604196246,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.68632972370742
"positive regulation of DNA-templated transcription",0.0205906604196246,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.68632972370742
"positive regulation of RNA biosynthetic process",0.0205906604196246,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.68632972370742
"regulation of cell differentiation",0.0213005315915526,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.67160955785718
"response to stress",0.0221626207429422,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.65437888532895
"positive regulation of RNA metabolic process",0.0229001486633793,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.64016169829436
"system development",0.0234550189785436,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.62976421130887
"epithelial cell proliferation",0.0239743466784523,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.62025321889386
"intracellular signaling cassette",0.0239743466784523,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.62025321889386
"positive regulation of nucleobase-containing compound metabolic process",0.0268809431642522,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.57055549737996
"positive regulation of cytokine production",0.0268809431642522,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.57055549737996
"angiogenesis",0.026957721167877,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.56931682304346
"positive regulation of cell migration",0.0279919197133223,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.55296731617073
"positive regulation of cell motility",0.0291648534998061,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.53514020076613
"tissue development",0.0291648534998061,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.53514020076613
"positive regulation of locomotion",0.0295944341881649,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.52878995882802
"cell differentiation",0.0296584890436732,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.52785097794385
"cellular developmental process",0.0296584890436732,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.52785097794385
"cell surface receptor protein tyrosine kinase signaling pathway",0.029851889899325,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.52502816882719
"multicellular organism development",0.0300694059957656,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.52187515105842
"blood vessel morphogenesis",0.0300694059957656,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.52187515105842
"regulation of gene expression",0.0318045081591635,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.49751131618281
"positive regulation of response to stimulus",0.0332922374894893,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.47765701599731
"regulation of macromolecule biosynthetic process",0.0332922374894893,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.47765701599731
"cellular response to chemical stimulus",0.0342986185612297,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.46472337159912
"response to chemical",0.0342986185612297,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.46472337159912
"MAPK cascade",0.0352406205630705,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.45295645256577
"regulation of biosynthetic process",0.0357258759296599,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.44701711434233
"regulation of cytokine production",0.0383287283919575,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.4164755888207
"cytokine production",0.0384852406012387,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.41470579398267
"cell surface receptor signaling pathway",0.0402261999958444,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.39549099150985
"regulation of macromolecule metabolic process",0.0402261999958444,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.39549099150985
"response to stimulus",0.0418788663437176,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.37800508313769
"tube morphogenesis",0.0418788663437176,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.37800508313769
"intracellular signal transduction",0.0431425729431951,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.36509395794208
"positive regulation of cell differentiation",0.0433370632836315,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.36314052178699
"response to hormone",0.0447362805145859,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.34934012705971
"positive regulation of cell population proliferation",0.0460577035554984,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.33669771982464
"negative regulation of developmental process",0.0476493460598064,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.3219430552474
"regulation of DNA-templated transcription",0.0479160488603092,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.31951900090488
"regulation of RNA biosynthetic process",0.0479160488603092,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.31951900090488
"anatomical structure development",0.0482053610108324,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.31690466035135
"regulation of metabolic process",0.0482053610108324,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.31690466035135
"response to lipid",0.0492851975772409,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.30728349808216
"animal organ morphogenesis",0.0499496207258771,"HFDvsSD","aggSC","Overlap_All3","richR_GO",1.30146780508132
"cell adhesion",6.96372814728001e-05,"DRvsHFD","mySC","Overlap_MS","richR_GO",4.15715819138019
"collagen fibril organization",0.00411385224498833,"DRvsHFD","mySC","Overlap_MS","richR_GO",2.38575131068179
"regulation of sodium ion transport",0.00433723274443908,"DRvsHFD","mySC","Overlap_MS","richR_GO",2.36278727212989
"extracellular matrix organization",0.00599712868564343,"DRvsHFD","mySC","Overlap_MS","richR_GO",2.22205663202511
"external encapsulating structure organization",0.00599712868564343,"DRvsHFD","mySC","Overlap_MS","richR_GO",2.22205663202511
"extracellular structure organization",0.00599712868564343,"DRvsHFD","mySC","Overlap_MS","richR_GO",2.22205663202511
"muscle tissue development",0.0319916139824277,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.49496384913188
"regulation of cell migration",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"regulation of cell motility",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"growth",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"system development",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"regulation of locomotion",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"sodium ion transport",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"seminal vesicle epithelium development",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"cellular response to vitamin E",0.0369788832750336,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.432046208234
"nervous system development",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"tissue homeostasis",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"anatomical structure homeostasis",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"sensory perception of mechanical stimulus",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"endochondral bone morphogenesis",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"negative regulation of cell adhesion",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"response to abiotic stimulus",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"locomotion",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"neurogenesis",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"positive regulation of cell communication",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"positive regulation of signaling",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"anatomical structure morphogenesis",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"response to steroid hormone",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"cell differentiation",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"cellular developmental process",0.0387746397903352,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.41145222801588
"regulation of cell adhesion",0.0415377862570688,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.38155665276862
"multicellular organism development",0.0415377862570688,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.38155665276862
"developmental growth",0.0422743043640203,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.3739235301135
"astrocyte differentiation",0.0422743043640203,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.3739235301135
"tissue development",0.0422743043640203,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.3739235301135
"regulation of smoothened signaling pathway",0.0422743043640203,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.3739235301135
"regulation of metal ion transport",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"gliogenesis",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"wound healing",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"cellular response to fibroblast growth factor stimulus",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"bone morphogenesis",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"response to fibroblast growth factor",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"regulation of multicellular organismal development",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"regulation of multicellular organismal process",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"cardiac muscle tissue growth",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"cell-cell adhesion",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"cardiac muscle hypertrophy",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"cell migration",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"striated muscle hypertrophy",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"muscle hypertrophy",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"response to endogenous stimulus",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"regulation of biological process",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"heart growth",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"animal organ development",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"regulation of monoatomic ion transport",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"positive regulation of signal transduction",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"striated muscle tissue development",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"response to hormone",0.0431591209096561,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.36492740986433
"generation of neurons",0.0439745818171644,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.35679828183893
"regulation of cell-cell adhesion",0.0440476530135329,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.3560772271027
"cell growth",0.0466987700701425,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.33069455752349
"biological regulation",0.0474455194066494,"DRvsHFD","mySC","Overlap_MS","richR_GO",1.32380479459279
"regulation of cell migration",0.0120594916909791,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.91867099737458
"regulation of cell motility",0.0120594916909791,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.91867099737458
"regulation of locomotion",0.0120594916909791,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.91867099737458
"collagen fibril organization",0.0130421663893395,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.88465026345144
"locomotion",0.0130421663893395,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.88465026345144
"endochondral bone morphogenesis",0.0130421663893395,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.88465026345144
"cell adhesion",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"cellular response to vitamin E",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"cell migration",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"response to endogenous stimulus",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"cellular response to fibroblast growth factor stimulus",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"bone morphogenesis",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"response to fibroblast growth factor",0.0149071244317863,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.82660612340482
"cell motility",0.0194810456106781,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.71038773684339
"cellular response to growth factor stimulus",0.0194810456106781,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.71038773684339
"response to growth factor",0.0200447274771961,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.69799984392603
"blood vessel development",0.0200447274771961,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.69799984392603
"regulation of cell adhesion",0.0200447274771961,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.69799984392603
"response to stress",0.0200447274771961,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.69799984392603
"vasculature development",0.0200447274771961,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.69799984392603
"cellular response to amino acid stimulus",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"cellular response to acid chemical",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"response to amino acid",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"cartilage development",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"response to hormone",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"enzyme-linked receptor protein signaling pathway",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"bone development",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"response to acid chemical",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"lung development",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"respiratory tube development",0.0213320481244193,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.67096744523357
"skeletal system morphogenesis",0.0220545256456835,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6565022787007
"sensory perception of sound",0.0220545256456835,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6565022787007
"animal organ morphogenesis",0.0220545256456835,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6565022787007
"cellular response to transforming growth factor beta stimulus",0.0220545256456835,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6565022787007
"respiratory system development",0.0220545256456835,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6565022787007
"response to transforming growth factor beta",0.0222817831776656,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.65205005617194
"tissue homeostasis",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"anatomical structure homeostasis",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"sensory perception of mechanical stimulus",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"extracellular matrix organization",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"external encapsulating structure organization",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"extracellular structure organization",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"negative regulation of cell adhesion",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"anatomical structure morphogenesis",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"circulatory system development",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"anatomical structure formation involved in morphogenesis",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"response to abiotic stimulus",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"connective tissue development",0.022915642614785,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.6398679594909
"embryo development",0.022927906825087,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.63963559183825
"cellular response to endogenous stimulus",0.022927906825087,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.63963559183825
"skin development",0.022927906825087,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.63963559183825
"response to steroid hormone",0.022927906825087,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.63963559183825
"cell-substrate adhesion",0.0240513536175143,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.61886047637647
"regulation of multicellular organismal process",0.025498083908582,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.59349245404429
"wound healing",0.0264733583854871,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.57719096101193
"positive regulation of cellular process",0.0291597392785312,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.53521636342681
"positive regulation of signal transduction",0.0319587057984927,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.49541081621517
"muscle tissue development",0.0330053147586159,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.48141612119816
"response to stimulus",0.0330053147586159,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.48141612119816
"regulation of cell-cell adhesion",0.0330053147586159,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.48141612119816
"response to peptide hormone",0.0330053147586159,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.48141612119816
"positive regulation of biological process",0.0330053147586159,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.48141612119816
"skeletal system development",0.0351092928781485,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.4545779173934
"intracellular signaling cassette",0.0351092928781485,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.4545779173934
"positive regulation of multicellular organismal process",0.0351092928781485,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.4545779173934
"response to wounding",0.0351092928781485,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.4545779173934
"homeostatic process",0.0354440156431624,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.45045708043987
"positive regulation of cell migration",0.0354440156431624,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.45045708043987
"response to oxygen-containing compound",0.0354440156431624,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.45045708043987
"regulation of response to stimulus",0.0357567934510894,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44664143419763
"positive regulation of cell motility",0.0357567934510894,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44664143419763
"neurogenesis",0.0357567934510894,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44664143419763
"positive regulation of cell communication",0.0357567934510894,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44664143419763
"positive regulation of signaling",0.0357567934510894,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44664143419763
"positive regulation of locomotion",0.0357567934510894,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44664143419763
"cell surface receptor protein tyrosine kinase signaling pathway",0.0361919160656851,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.44138842394551
"system development",0.0363920008757769,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.43899406572676
"blood vessel morphogenesis",0.0372494144404571,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.42888054995669
"heart development",0.0384340278285281,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.41528409973965
"tissue development",0.0394377583876489,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.40408777799911
"tissue morphogenesis",0.0396059426545216,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.40223964567967
"MAPK cascade",0.0452641476217555,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.344245653503
"head development",0.0458146968855368,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.33899518242374
"regulation of cellular process",0.0471020780972237,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.32695993180427
"developmental growth",0.04767140515347,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.32174204670093
"positive regulation of response to stimulus",0.04767140515347,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.32174204670093
"cell differentiation",0.04767140515347,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.32174204670093
"cellular developmental process",0.04767140515347,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.32174204670093
"chordate embryonic development",0.0477388334658204,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.32112819751081
"cellular response to chemical stimulus",0.0482332540504207,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.3166534374671
"cytokine production",0.0482332540504207,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.3166534374671
"embryo development ending in birth or egg hatching",0.0483189327578545,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.31588266673985
"multicellular organism development",0.0483830723248007,"DRvsHFD","mySC","Overlap_All3","richR_GO",1.31530655740153
