"","Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID"
"GO:0010038","GO:0010038","response to metal ion",347,29,0.0835734870317003,2.6149740825809,5.51717700557828,2.57722197168301e-06,8.11627481678986e-05,"ASPH, KCNIP2, ACO1, SERPINF1, NQO1, HMOX1, MAPT, CAT, KCNMA1, LGMN, B2M, BNIP3, FABP4, CYBRD1, TNNC1, ABCC9, TFRC, ITPR3, AKR1C3, THBS1, FOS, MAOB, AQP1, ANK3, SLC1A1, LOXL2, LRRK2, HCN1, RASGRP2"
"GO:0009310","GO:0009310","amine catabolic process",21,7,0.333333333333333,10.4298391569606,7.85595227683802,2.58794064914344e-06,8.11627481678986e-05,"MAOA, ATP2B4, MAOB, SAT1, HNMT, MOXD1, PDE1B"
"GO:0006790","GO:0006790","sulfur compound metabolic process",329,28,0.0851063829787234,2.66293765709633,5.52902920599568,2.69809259265387e-06,8.42162929631204e-05,"ACSL1, IDH1, GPAM, PDK4, ACSS2, MTHFD1, GPC1, GHR, GPX1, FASN, ACACA, ELOVL5, ACACB, STAT5A, ACLY, DSEL, DGAT1, MVD, ACSF2, ENPP1, MICAL2, HYAL1, ACOT2, SLC1A1, ACSL4, PAPSS2, XYLT1, PHGDH"
"GO:0043542","GO:0043542","endothelial cell migration",293,26,0.0887372013651877,2.7765442124332,5.56880618828552,2.85316163363416e-06,8.86364269769557e-05,"SPARC, PPARG, ANGPT1, ANXA1, SERPINF1, SRPX2, PLK2, HMOX1, GPX1, GAB1, LGMN, STAT5A, FSTL1, ITGB2, ATP2B4, ITGB1, THBS1, CYP1B1, NR2F2, MAP2K3, ITGB1BP1, STARD13, PRCP, MEOX2, LOXL2, MMRN1"
"GO:0003012","GO:0003012","muscle system process",467,35,0.0749464668094218,2.34503878261427,5.34805920994351,2.96895255422786e-06,9.18005705265008e-05,"PTGER3, IGF1, ASPH, KCNIP2, PPARG, DMD, COL6A1, HMOX1, ORMDL3, KCNMA1, MYH14, CRYAB, MYH11, ACACB, HSP90AA1, GSN, ADRA2A, TPM2, ALDOA, TNNC1, ABCC9, P2RY1, ATP2B4, DOCK5, ENO1, PKP2, MAP2K3, TMOD1, SORBS2, PPP1R12B, VEGFB, IL6ST, ACTA2, SCN4B, NPNT"
"GO:0050673","GO:0050673","epithelial cell proliferation",488,36,0.0737704918032787,2.30824309211424,5.32047163715727,3.07651905480867e-06,9.38053448841199e-05,"SPARC, IGF1, THBS4, AR, PPARG, CDKN2B, LAMA5, GPC3, SERPINF1, SIX1, MTSS1, HMOX1, GPX1, B2M, STAT5A, COL8A2, PTCH1, MAP2K1, SFRP2, SFRP1, COL8A1, CXCL12, NFIB, NUPR1, JAG1, RAP1GAP, THBS1, RTN4, NR2F2, ITGB1BP1, ERBB2, LOXL2, VEGFB, IGFBP3, STAT1, DAB2"
"GO:0042552","GO:0042552","myelination",158,18,0.113924050632911,3.56462857263211,5.88203329331377,3.1542606601729e-06,9.5732537824418e-05,"TNFRSF21, PLEC, SOS1, COL6A1, GPC1, EPB41L3, ORMDL3, ITGB4, CD9, ARHGEF10, MAP2K1, NTRK2, JAM3, AKT2, ERBB2, CLU, CDK18, GRB2"
"GO:0010001","GO:0010001","glial cell differentiation",259,24,0.0926640926640927,2.89941474633654,5.59272549435236,3.2466369012322e-06,9.77094513800267e-05,"TNFRSF21, PLEC, SOS1, COL6A1, GPC1, PFKFB3, MAPT, BOK, BNIP3, ITGB4, ARHGEF10, SOX13, LRP1, MAP2K1, ROR1, DTX1, NFIB, NTRK2, AKT2, ERBB2, CLU, IL6ST, PHGDH, GRB2"
"GO:0006637","GO:0006637","acyl-CoA metabolic process",100,14,0.14,4.38053244592346,6.15864535736199,3.50854203134674e-06,0.000103619990217263,"ACSL1, GPAM, PDK4, ACSS2, FASN, ACACA, ELOVL5, ACACB, ACLY, DGAT1, MVD, ACSF2, ACOT2, ACSL4"
"GO:0035383","GO:0035383","thioester metabolic process",100,14,0.14,4.38053244592346,6.15864535736199,3.50854203134674e-06,0.000103619990217263,"ACSL1, GPAM, PDK4, ACSS2, FASN, ACACA, ELOVL5, ACACB, ACLY, DGAT1, MVD, ACSF2, ACOT2, ACSL4"
"GO:0007492","GO:0007492","endoderm development",87,13,0.149425287356322,4.67544513932718,6.24336597749414,3.7275112986737e-06,0.000108625616871969,"DUSP4, LAMB3, COL6A1, ITGB5, COL12A1, MAP2K1, ITGB2, COL8A1, COL5A2, MMP2, INHBA, COL7A1, GRB2"
"GO:0007272","GO:0007272","ensheathment of neurons",160,18,0.1125,3.52007071547421,5.81661700957184,3.77738088763323e-06,0.000109113291780493,"TNFRSF21, PLEC, SOS1, COL6A1, GPC1, EPB41L3, ORMDL3, ITGB4, CD9, ARHGEF10, MAP2K1, NTRK2, JAM3, AKT2, ERBB2, CLU, CDK18, GRB2"
"GO:0008366","GO:0008366","axon ensheathment",160,18,0.1125,3.52007071547421,5.81661700957184,3.77738088763323e-06,0.000109113291780493,"TNFRSF21, PLEC, SOS1, COL6A1, GPC1, EPB41L3, ORMDL3, ITGB4, CD9, ARHGEF10, MAP2K1, NTRK2, JAM3, AKT2, ERBB2, CLU, CDK18, GRB2"
"GO:0010763","GO:0010763","positive regulation of fibroblast migration",15,6,0.4,12.5158069883527,8.1069138994134,4.06647411204295e-06,0.0001169510851612,"DMTN, DDR2, ITGB1, THBS1, AQP1, ACTA2"
"GO:0007422","GO:0007422","peripheral nervous system development",88,13,0.147727272727273,4.62231508092573,6.18854258426276,4.24773348639122e-06,0.000120584365264537,"PLXNA4, PLEC, SOS1, COL6A1, GPC1, ITGB4, ARHGEF10, MAP2K1, NTRK2, ALDH3A2, AKT2, ERBB2, GRB2"
"GO:0010232","GO:0010232","vascular transport",88,13,0.147727272727273,4.62231508092573,6.18854258426276,4.24773348639122e-06,0.000120584365264537,"CD36, SLC22A3, SLC16A7, SLC1A5, LRP1, FLVCR2, SLC16A1, ABCC9, TFRC, ATP2B4, SLC24A3, SLC1A1, SLC5A3"
"GO:0150104","GO:0150104","transport across blood-brain barrier",88,13,0.147727272727273,4.62231508092573,6.18854258426276,4.24773348639122e-06,0.000120584365264537,"CD36, SLC22A3, SLC16A7, SLC1A5, LRP1, FLVCR2, SLC16A1, ABCC9, TFRC, ATP2B4, SLC24A3, SLC1A1, SLC5A3"
"GO:0048545","GO:0048545","response to steroid hormone",338,28,0.0828402366863905,2.59203103309081,5.36649400417482,4.53345188224367e-06,0.00012814297895475,"IDH1, AR, ANXA1, PTGDS, SERPINF1, GHR, NCOA4, SLIT3, SFRP1, PGRMC2, PMEPA1, HSPA8, AKR1C3, PPARGC1B, THBS1, CYP1B1, FOS, COL1A1, INHBA, ADM, KDM4C, MAOB, AQP1, RXRA, PAPPA, NR1H3, DAB2, LMO3"
"GO:0030866","GO:0030866","cortical actin cytoskeleton organization",41,9,0.219512195121951,6.86843066433992,6.83486809824927,4.59833441263963e-06,0.000129421497613866,"LCP1, PLEC, EPB41L3, EPB41, EPB41L1, NCKAP1L, RHOQ, EHD2, FMNL1"
"GO:0045785","GO:0045785","positive regulation of cell adhesion",499,36,0.0721442885771543,2.25735997785921,5.17240020385553,5.08634881587522e-06,0.000142547631069592,"CCDC80, CD36, IGF1, APBB1IP, ANGPT1, GPAM, ANXA1, ITGA6, TJP1, FBLN2, B2M, YWHAG, THY1, JAK1, SOX13, CD276, ITGB2, SFRP2, SFRP1, TFRC, COL8A1, DOCK5, CD4, CXCL12, ITGB1BP1, NCKAP1L, ERBB2, HYAL1, ANK3, HLA-DQB1, FBLN1, IL6ST, MMRN1, SMARCA2, NPNT, DAB2"
"GO:0043603","GO:0043603","amide metabolic process",480,35,0.0729166666666667,2.28152731558514,5.16779691596464,5.45206578858807e-06,0.000152149598659496,"ACSL1, CD36, IDH1, IGF1, SPON1, ASAH1, GPAM, PDK4, ACSS2, ORMDL3, GPX1, FASN, RTN3, ACACA, ELOVL5, ACACB, SGMS2, ACLY, LRP1, DGAT1, SHMT1, MVD, ACSF2, CPE, NTRK2, RTN4, LRP4, ACOT2, CLU, SLC1A1, ACSL4, ST3GAL1, CARNS1, CSNK1E, ST6GAL1"
"GO:0090313","GO:0090313","regulation of protein targeting to membrane",32,8,0.25,7.82237936772047,7.0181550416563,5.5430340408207e-06,0.000154035536678671,"DMTN, CHP1, ITGB2, ITGB1BP1, AKT2, ERBB2, ANK3, SLC1A1"
"GO:0042417","GO:0042417","dopamine metabolic process",42,9,0.214285714285714,6.70489660090326,6.72512292764952,5.68795502273941e-06,0.000157398620923369,"MAOA, ALDH2, NPR1, ITGB2, MAOB, SLC1A1, NR4A2, MOXD1, PDE1B"
"GO:0032868","GO:0032868","response to insulin",324,27,0.0833333333333333,2.60745978924015,5.30308799190739,6.00258559673362e-06,0.000165410162092417,"PPARG, DDR2, PDK4, SOS1, COL6A1, GHR, SIK2, KANK1, CAT, GAB1, YWHAG, ZNF106, INSIG1, SESN3, ENPP1, TBC1D4, NTRK2, FOS, COL1A1, ADM, RHOQ, AKT2, ERBB2, HADHA, OSBPL8, STAT1, GRB2"
"GO:0043534","GO:0043534","blood vessel endothelial cell migration",183,19,0.103825136612022,3.24863842593855,5.55406496606605,6.71331364807267e-06,0.000183460098283015,"PPARG, ANGPT1, ANXA1, SRPX2, PLK2, HMOX1, GPX1, GAB1, STAT5A, ATP2B4, ITGB1, THBS1, CYP1B1, MAP2K3, ITGB1BP1, STARD13, PRCP, MEOX2, MMRN1"
"GO:0010812","GO:0010812","negative regulation of cell-substrate adhesion",66,11,0.166666666666667,5.21491957848031,6.23256761373244,7.06018872763587e-06,0.000192142160992603,"DMTN, FZD4, KANK1, JAG1, THBS1, COL1A1, CLASP2, ITGB1BP1, FBLN1, POSTN, ACTN4"
"GO:0007369","GO:0007369","gastrulation",202,20,0.099009900990099,3.09797202681999,5.44706839942367,7.94025768811205e-06,0.000214321873499615,"DUSP4, LAMB3, GPC3, COL6A1, ITGB5, ITGB4, COL12A1, MAP2K1, ITGB2, SFRP2, SFRP1, COL8A1, COL5A2, ITGB1, MMP2, INHBA, CLASP2, COL7A1, ITGA8, GRB2"
"GO:0007517","GO:0007517","muscle organ development",369,29,0.0785907859078591,2.45906776871429,5.14320980927374,8.54243647756042e-06,0.000227989586177874,"COL3A1, IGF1, FHL1, PLEC, LAMA5, DMD, SIX1, COL6A1, GPC1, FZD1, GPX1, FZD2, MYH14, CRYAB, COL6A3, FGFRL1, FLNB, TAGLN, TNNC1, ABCC9, SPEG, ITGB1, PKP2, NUPR1, FOS, NR2F2, MEOX2, S1PR1, BCL9L"
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus",369,29,0.0785907859078591,2.45906776871429,5.14320980927374,8.54243647756042e-06,0.000227989586177874,"PPARG, DDR2, PDK4, SOS1, FBN1, COL6A1, GHR, SIK2, KANK1, GAB1, YWHAG, ZNF106, INSIG1, JAK1, STAT5A, SESN3, ENPP1, TBC1D4, NTRK2, CYP1B1, FOS, INHBA, RHOQ, AKT2, ERBB2, NR4A2, OSBPL8, STAT1, GRB2"
"GO:0031099","GO:0031099","regeneration",203,20,0.0985221674876847,3.08271108087506,5.42095959688981,8.55047491435391e-06,0.000227989586177874,"IGF1, LCP1, PTPRF, ANXA1, COL6A1, GPX1, MAPK8IP3, THY1, MATN2, CD9, PRRX1, PTCH1, MAP2K1, CXCL12, NFIB, MMP2, ADM, POSTN, TNC, GUCD1"
"GO:0007162","GO:0007162","negative regulation of cell adhesion",312,26,0.0833333333333333,2.60745978924015,5.20226742845156,8.90148905576772e-06,0.000236391963392283,"DMTN, FZD4, TNFRSF21, ANGPT1, ANXA1, FGL2, PLXNB1, KANK1, CD9, STAT5A, GPNMB, DTX1, CXCL12, JAG1, MMP2, THBS1, CYP1B1, COL1A1, CLASP2, ITGB1BP1, JAM3, ERBB2, FBLN1, POSTN, TNC, ACTN4"
"GO:0010761","GO:0010761","fibroblast migration",56,10,0.178571428571429,5.58741383408605,6.24671687831872,9.75697220036055e-06,0.000257037675646298,"DMTN, CD248, PLEC, DDR2, FUT8, ITGB1, THBS1, ITGB1BP1, AQP1, ACTA2"
"GO:0043434","GO:0043434","response to peptide hormone",494,35,0.0708502024291498,2.2168686467224,4.98000855022208,1.01725370181829e-05,0.000266917644628495,"COL3A1, PPARG, DDR2, PDK4, SOS1, FBN1, COL6A1, GHR, SIK2, KANK1, CAT, GAB1, YWHAG, ZNF106, INSIG1, JAK1, STAT5A, SESN3, ENPP1, TBC1D4, CXCL12, NTRK2, CYP1B1, FOS, COL1A1, INHBA, ADM, RHOQ, AKT2, ERBB2, NR4A2, HADHA, OSBPL8, STAT1, GRB2"
"GO:0007596","GO:0007596","blood coagulation",241,22,0.0912863070539419,2.8563044994166,5.26988214238347,1.05088823472275e-05,0.0002735067954737,"COL3A1, CD36, SVEP1, F13A1, ANGPT1, CSRP1, ANGPTL2, CD9, ADRA2A, ANXA5, P2RY1, ANO6, ITPR3, THBS1, PROS1, SLC4A1, FBLN1, ANXA2, IL6ST, MMRN1, PAPSS2, ANGPTL4"
"GO:0071559","GO:0071559","response to transforming growth factor beta",315,26,0.0825396825396825,2.58262683886644,5.14688294871867,1.05482426435348e-05,0.0002735067954737,"COL3A1, MXRA5, PPARG, CDKN2B, DDR2, FBN1, TSKU, ITGB5, DKK3, FUT8, HTRA1, SFRP1, FBN2, FNDC4, PMEPA1, THBS1, PRDM16, FOS, COL1A1, COL1A2, POSTN, ACTA2, ITGA8, NPNT, BCL9L, DAB2"
"GO:0006641","GO:0006641","triglyceride metabolic process",110,14,0.127272727272727,3.98230222356678,5.69986020130925,1.08829752905249e-05,0.000279981543997644,"ACSL1, AGPAT2, GPAM, LPL, PNPLA2, LIPE, GPX1, CAT, INSIG1, LPGAT1, DGAT1, MGLL, C3, NR1H3"
"GO:0007009","GO:0007009","plasma membrane organization",173,18,0.104046242774566,3.25555673107441,5.41534353666967,1.13343142863275e-05,0.000290458341983475,"AR, PLEC, COL6A1, A4GALT, EPB41L3, MTSS1, CD9, GSN, SYT11, ANO6, EHD2, AKT2, ANK3, NSF, SLC4A1, CLU, ANXA2, TLCD2"
"GO:0030865","GO:0030865","cortical cytoskeleton organization",57,10,0.175438596491228,5.48938902997927,6.16774117086413,1.14981270164987e-05,0.000293514203607212,"LCP1, PLEC, KANK1, EPB41L3, EPB41, EPB41L1, NCKAP1L, RHOQ, EHD2, FMNL1"
"GO:0030308","GO:0030308","negative regulation of cell growth",174,18,0.103448275862069,3.23684663491881,5.38606628194271,1.22737581354674e-05,0.0003109037349238,"FHL1, TSPYL2, CRYAB, SEMA3G, NPR1, DCUN1D3, SLIT3, SFRP2, SFRP1, ENPP1, SEMA6D, ENO1, RTN4, INHBA, HYAL1, IP6K2, SMARCA2, DAB2"
"GO:0006739","GO:0006739","NADP metabolic process",46,9,0.195652173913043,6.12186211386819,6.31947355192897,1.25404977779941e-05,0.000316443365386473,"IDH1, PGD, ME1, NQO1, PC, ACACB, MDH1, ALDH1L1, FMO2"
"GO:0060346","GO:0060346","bone trabecula formation",11,5,0.454545454545455,14.2225079413099,7.97038888527691,1.29121454411353e-05,0.000323343687738847,"SFRP1, FBN2, PPARGC1B, MMP2, COL1A1"
"GO:0006826","GO:0006826","iron ion transport",58,10,0.172413793103448,5.39474439153136,6.09060832117852,1.35005699835346e-05,0.000336798310271056,"FTL, FTH1, SCARA5, B2M, CYBRD1, FLVCR2, PGRMC2, TFRC, SLC22A17, SLC25A37"
"GO:0042180","GO:0042180","ketone metabolic process",227,21,0.092511013215859,2.8946249642666,5.21813906016005,1.35632875682056e-05,0.000337086082732838,"AKR1C1, VKORC1L1, PPARG, AKR1C2, PDK4, NQO1, DKK3, AIFM2, ELOVL5, ACACB, INSIG1, LPGAT1, CYP19A1, AKR1C3, INHBA, ADM, AKT2, NMT1, FMO2, NR1H3, DAB2"
"GO:0030730","GO:0030730","triglyceride storage",18,6,0.333333333333333,10.4298391569606,7.27261778761871,1.38947444454519e-05,0.000342737029654481,"PPARG, PLIN2, LPL, PNPLA2, ENPP1, OSBPL8"
"GO:0050817","GO:0050817","coagulation",246,22,0.0894308943089431,2.79824952991626,5.15844930634693,1.45265426039943e-05,0.000355657284720842,"COL3A1, CD36, SVEP1, F13A1, ANGPT1, CSRP1, ANGPTL2, CD9, ADRA2A, ANXA5, P2RY1, ANO6, ITPR3, THBS1, PROS1, SLC4A1, FBLN1, ANXA2, IL6ST, MMRN1, PAPSS2, ANGPTL4"
"GO:0050680","GO:0050680","negative regulation of epithelial cell proliferation",177,18,0.101694915254237,3.18198482754731,5.29949136419249,1.552485437295e-05,0.000377294062362541,"SPARC, AR, PPARG, CDKN2B, GPC3, SERPINF1, MTSS1, B2M, PTCH1, SFRP2, SFRP1, NFIB, NUPR1, RAP1GAP, THBS1, NR2F2, STAT1, DAB2"
"GO:0042542","GO:0042542","response to hydrogen peroxide",99,13,0.131313131313131,4.10872451637843,5.63492726144516,1.587771205428e-05,0.000384450777902529,"NQO1, HMOX1, GPX1, CAT, CRYAB, BNIP3, ABCC9, NET1, MMP2, CYP1B1, COL1A1, AQP1, STAT1"
"GO:0007599","GO:0007599","hemostasis",248,22,0.0887096774193548,2.7756830014492,5.11465491917263,1.64888608560982e-05,0.000397786218308654,"COL3A1, CD36, SVEP1, F13A1, ANGPT1, CSRP1, ANGPTL2, CD9, ADRA2A, ANXA5, P2RY1, ANO6, ITPR3, THBS1, PROS1, SLC4A1, FBLN1, ANXA2, IL6ST, MMRN1, PAPSS2, ANGPTL4"
"GO:0006879","GO:0006879","intracellular iron ion homeostasis",72,11,0.152777777777778,4.78034294694029,5.83946050778319,1.67050217605389e-05,0.000400545891040649,"ACO1, FTL, NCOA4, FTH1, HMOX1, ALAS2, SCARA5, B2M, CYBRD1, TFRC, SLC22A17"
"GO:1904018","GO:1904018","positive regulation of vasculature development",195,19,0.0974358974358974,3.04872221511157,5.22523875918917,1.6724889164315e-05,0.000400545891040649,"HMOX1, GAB1, TJP1, JAK1, ITGB2, PAK4, SFRP2, C3, CXCL12, HSPB6, ITGB1, THBS1, CYP1B1, RTN4, ADM, HYAL1, AQP1, VEGFB, ANGPTL4"
"GO:0006576","GO:0006576","biogenic amine metabolic process",100,13,0.13,4.06763727121464,5.58861372894642,1.7725978839316e-05,0.000422982958825127,"SLC22A3, MAOA, ALDH2, NPR1, ITGB2, OAZ1, MAOB, SLC1A1, NR4A2, SAT1, HNMT, MOXD1, PDE1B"
"GO:0035023","GO:0035023","regulation of Rho protein signal transduction",86,12,0.13953488372093,4.36597918198352,5.68457856241305,1.79794855825217e-05,0.000427483364788765,"COL3A1, ARHGAP20, DOCK11, PLXNB1, KANK1, STMN1, NET1, ITGB1, ARHGEF28, ERBB2, STARD13, ARHGDIB"
"GO:0010885","GO:0010885","regulation of cholesterol storage",19,6,0.315789473684211,9.88090025396269,7.03713005839661,1.97604236392518e-05,0.000463139324156984,"CD36, PPARG, LPL, MSR1, SREBF2, NR1H3"
"GO:0042402","GO:0042402","biogenic amine catabolic process",19,6,0.315789473684211,9.88090025396269,7.03713005839661,1.97604236392518e-05,0.000463139324156984,"MAOA, MAOB, SAT1, HNMT, MOXD1, PDE1B"
"GO:0045926","GO:0045926","negative regulation of growth",233,21,0.0901287553648069,2.82008526561596,5.07948053877461,2.01331812011539e-05,0.000470202593584397,"FHL1, GPC3, TSPYL2, CRYAB, SEMA3G, LGMN, NPR1, PTCH1, DCUN1D3, SLIT3, SFRP2, SFRP1, ENPP1, SEMA6D, ENO1, RTN4, INHBA, HYAL1, IP6K2, SMARCA2, DAB2"
"GO:0010975","GO:0010975","regulation of neuron projection development",448,32,0.0714285714285714,2.23496553363442,4.80697578097153,2.07153151609509e-05,0.000480391076232475,"FZD4, PTPRF, DDR2, SERPINF1, DMD, PAK3, FZD1, TSKU, PLXNB1, KANK1, MAPT, ITGA6, SEMA3G, B2M, THY1, PRRX1, VLDLR, MAP2K1, SFRP2, SFRP1, MYCBP2, SEMA6D, CXCL12, NTRK2, LRRC4C, RTN4, TOX, LRP4, SNX3, L1CAM, LRRK2, DAB2"
"GO:0019336","GO:0019336","phenol-containing compound catabolic process",12,5,0.416666666666667,13.0372989462008,7.57880191786955,2.1552931099119e-05,0.000498061769188765,"MAOA, FAH, MAOB, MOXD1, PDE1B"
"GO:0071404","GO:0071404","cellular response to low-density lipoprotein particle stimulus",38,8,0.210526315789474,6.58726683597513,6.26430259477699,2.17618475690012e-05,0.00050113121709595,"CD36, PPARG, LPL, CD68, CD9, ITGB2, SREBF2, ITGB1"
"GO:0032370","GO:0032370","positive regulation of lipid transport",88,12,0.136363636363636,4.26675238239298,5.58108165055432,2.27880227281815e-05,0.000522933511107328,"ACSL1, PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, CYP19A1, RXRA, ANXA2, NR1H3, DAB2"
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation",410,30,0.0731707317073171,2.28947688811331,4.79661143653556,2.38175624533073e-05,0.000544661341380146,"SPARC, IGF1, THBS4, AR, PPARG, CDKN2B, LAMA5, GPC3, SERPINF1, SIX1, MTSS1, HMOX1, GPX1, B2M, STAT5A, PTCH1, SFRP2, SFRP1, CXCL12, NFIB, NUPR1, JAG1, RAP1GAP, THBS1, RTN4, NR2F2, ERBB2, VEGFB, STAT1, DAB2"
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading",62,10,0.161290322580645,5.04669636627127,5.79903667550102,2.48040565426048e-05,0.0005633086772055,"DMTN, KANK1, DOCK5, PKP2, ITGB1BP1, FBLN1, POSTN, ST6GAL1, DAB2, ACTN4"
"GO:0055094","GO:0055094","response to lipoprotein particle",39,8,0.205128205128205,6.41836255812961,6.15450959243323,2.66178893680469e-05,0.000600361025266975,"CD36, PPARG, LPL, CD68, CD9, ITGB2, SREBF2, ITGB1"
"GO:0021782","GO:0021782","glial cell development",135,15,0.111111111111111,3.47661305232021,5.24725084964401,2.78267426057003e-05,0.000623356893881437,"PLEC, SOS1, COL6A1, MAPT, ITGB4, ARHGEF10, LRP1, MAP2K1, ROR1, NTRK2, AKT2, ERBB2, CLU, PHGDH, GRB2"
"GO:0032355","GO:0032355","response to estradiol",120,14,0.116666666666667,3.65044370493622,5.29226521394048,2.95980085593437e-05,0.000656338331218308,"GHR, NQO1, GPX1, CAT, CRYAB, GPX4, PTCH1, SFRP1, CYP19A1, MMP2, CYP1B1, COL1A1, NR2F2, POSTN"
"GO:0046165","GO:0046165","alcohol biosynthetic process",152,16,0.105263157894737,3.29363341798756,5.1588203022275,2.98301444512827e-05,0.000659266212604523,"ASAH1, ACAA2, DHDDS, DKK3, INSIG1, ACLY, DHCR24, DHCR7, EBP, MVD, SREBF2, P2RY1, ISYNA1, IP6K2, DAB2, MOXD1"
"GO:0035384","GO:0035384","thioester biosynthetic process",51,9,0.176470588235294,5.52167955368504,5.8751215644757,3.00387743681245e-05,0.000659451226628226,"ACSL1, PDK4, ACSS2, FASN, ACACA, ELOVL5, ACACB, ACLY, ACSL4"
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process",51,9,0.176470588235294,5.52167955368504,5.8751215644757,3.00387743681245e-05,0.000659451226628226,"ACSL1, PDK4, ACSS2, FASN, ACACA, ELOVL5, ACACB, ACLY, ACSL4"
"GO:0031669","GO:0031669","cellular response to nutrient levels",258,22,0.0852713178294574,2.66809838898993,4.90200357641973,3.03679261193005e-05,0.000664462330304694,"CDKN2B, PLIN2, PDK4, LPL, CD68, PAK3, YWHAG, PAK4, SFRP1, SESN3, SREBF2, CPEB4, HSPA8, AKR1C3, FOS, COL1A1, INHBA, RXRA, POSTN, TNC, LRRK2, YWHAZ"
"GO:0006734","GO:0006734","NADH metabolic process",40,8,0.2,6.25790349417637,6.04849416121484,3.23491737669403e-05,0.000705469067645922,"ME1, NQO1, PC, GPD1, BCL2L13, MDH1, ENO1, HK1"
"GO:0045906","GO:0045906","negative regulation of vasoconstriction",13,5,0.384615384615385,12.034429796493,7.2312606189238,3.41030596005555e-05,0.000732884506668589,"SVEP1, DOCK5, ITGB1, MMP2, ADM"
"GO:0051451","GO:0051451","myoblast migration",13,5,0.384615384615385,12.034429796493,7.2312606189238,3.41030596005555e-05,0.000732884506668589,"THBS4, ANXA1, SIX1, NET1, ITGB1BP1"
"GO:0032869","GO:0032869","cellular response to insulin stimulus",260,22,0.0846153846153846,2.64757455522847,4.86068273860758,3.41627002045637e-05,0.000732884506668589,"PPARG, DDR2, PDK4, SOS1, COL6A1, GHR, SIK2, KANK1, GAB1, YWHAG, ZNF106, INSIG1, SESN3, ENPP1, TBC1D4, NTRK2, RHOQ, AKT2, ERBB2, OSBPL8, STAT1, GRB2"
"GO:0001667","GO:0001667","ameboidal-type cell migration",243,21,0.0864197530864197,2.70403237402683,4.85788844873996,3.76144132237256e-05,0.000797085340341202,"DMTN, CD248, PLEC, LAMA5, DDR2, GPC3, KANK1, SEMA3G, FUT8, ITGB4, FBN2, DOCK5, SEMA6D, ITGB1, THBS1, RTN4, CLASP2, ITGB1BP1, AQP1, ARHGDIB, ACTA2"
"GO:0006936","GO:0006936","muscle contraction",359,27,0.0752089136490251,2.35325061758722,4.70384822125375,3.76394686981649e-05,0.000797085340341202,"PTGER3, ASPH, KCNIP2, DMD, ORMDL3, KCNMA1, MYH14, CRYAB, MYH11, HSP90AA1, GSN, ADRA2A, TPM2, ALDOA, TNNC1, ABCC9, ATP2B4, DOCK5, ENO1, PKP2, MAP2K3, TMOD1, PPP1R12B, VEGFB, ACTA2, SCN4B, NPNT"
"GO:1901654","GO:1901654","response to ketone",225,20,0.0888888888888889,2.78129044185617,4.88407231508197,3.843557141014e-05,0.000811335491369173,"AR, AKR1C2, SERPINF1, GHR, NQO1, NCOA4, ACACA, SLIT3, SFRP1, AKR1C3, THBS1, CYP1B1, FOS, INHBA, MAOB, AQP1, POSTN, TNC, PAPPA, NR1H3"
"GO:0030301","GO:0030301","cholesterol transport",123,14,0.113821138211382,3.5614084926207,5.17843656798622,3.90844040129162e-05,0.00082239579817593,"CD36, PPARG, PLTP, TSKU, EEPD1, MSR1, LRP1, PTCH1, NFKBIA, SREBF2, CLU, RXRA, ANXA2, NR1H3"
"GO:0007266","GO:0007266","Rho protein signal transduction",139,15,0.107913669064748,3.3765666335484,5.10988008636282,3.92835406960532e-05,0.00082395350007709,"COL3A1, ARHGAP20, DOCK11, PLXNB1, KANK1, ADRA2A, STMN1, NET1, ITGB1, ARHGEF28, ERBB2, COL1A2, STARD13, ARHGDIB, LRRK2"
"GO:0061041","GO:0061041","regulation of wound healing",140,15,0.107142857142857,3.35244830045163,5.07632071362236,4.27267324269486e-05,0.000892089944604996,"CD36, DMTN, DDR2, ANXA1, KANK1, CD9, ADRA2A, ANO6, ITGB1, THBS1, CLASP2, PROS1, VEGFB, ANXA2, MMRN1"
"GO:0090303","GO:0090303","positive regulation of wound healing",66,10,0.151515151515152,4.74083598043665,5.53154401782459,4.34028593940711e-05,0.000901738902111521,"CD36, DMTN, DDR2, ANXA1, KANK1, ADRA2A, ANO6, ITGB1, THBS1, VEGFB"
"GO:0032368","GO:0032368","regulation of lipid transport",157,16,0.101910828025478,3.18874063397522,5.00388062562821,4.44046057008551e-05,0.000916767188544927,"ACSL1, PPARG, PLTP, EEPD1, LRP1, PTCH1, NFKBIA, SREBF2, CYP19A1, THBS1, AKT2, RXRA, ACSL4, ANXA2, NR1H3, DAB2"
