"Pathway","Mouse_majorSC","Mouse_aggSC","Human_JCI_SC","Human_JCI_Bulk","n_datasets"
"regulation of substrate adhesion-dependent cell spreading",0,0,1,0,1
"trabecula formation",0,0,1,0,1
"appendage development",0,0,1,0,1
"limb development",0,0,1,0,1
"amide metabolic process",0,0,1,0,1
"regulation of biomineral tissue development",0,0,1,0,1
"negative regulation of neuron projection development",0,0,1,0,1
"positive regulation of catalytic activity",0,0,1,0,1
"amyloid-beta metabolic process",0,0,1,0,1
"antibacterial humoral response",0,0,1,0,1
"response to retinoic acid",0,0,1,0,1
"nervous system process",0,0,1,0,1
"leukocyte chemotaxis involved in inflammatory response",0,0,1,0,1
"autocrine signaling",0,0,1,0,1
"amyloid-beta clearance by cellular catabolic process",0,0,1,0,1
"positive regulation of endothelial cell development",0,0,1,0,1
"positive regulation of establishment of endothelial barrier",0,0,1,0,1
"microglial cell migration",0,0,1,0,1
"regulation of actomyosin structure organization",0,0,1,0,1
"negative regulation of epithelial cell proliferation",0,0,1,0,1
"endothelial cell chemotaxis",0,0,1,0,1
"positive regulation of actin filament bundle assembly",0,0,1,0,1
"regulation of synapse maturation",0,0,1,0,1
"telencephalon cell migration",0,0,1,0,1
"zymogen activation",0,0,1,0,1
"positive regulation of endocytic recycling",0,0,1,0,1
"contractile actin filament bundle assembly",0,0,1,0,1
"stress fiber assembly",0,0,1,0,1
"negative regulation of stress fiber assembly",0,0,1,0,1
"positive regulation of neuron projection development",0,0,1,0,1
"regulation of postsynaptic membrane potential",0,0,1,0,1
"regulation of fibroblast growth factor receptor signaling pathway",0,0,1,0,1
"long-chain fatty acid transport",0,0,1,0,1
"forebrain cell migration",0,0,1,0,1
"fibroblast migration",0,0,1,0,1
"postsynaptic specialization organization",0,0,1,0,1
"sequestering of extracellular ligand from receptor",0,0,1,0,1
"dehydroascorbic acid transport",0,0,1,0,1
"positive regulation of inhibitory postsynaptic potential",0,0,1,0,1
"positive regulation of chondrocyte proliferation",0,0,1,0,1
"muscle cell development",0,0,1,0,1
"maintenance of protein location",0,0,1,0,1
"peptide hormone processing",0,0,1,0,1
"negative regulation of blood vessel endothelial cell migration",0,0,1,0,1
"positive regulation of supramolecular fiber organization",0,0,1,0,1
"regulation of cartilage development",0,0,1,0,1
"negative regulation of axon extension",0,0,1,0,1
"cellular hyperosmotic response",0,0,1,0,1
"insulin processing",0,0,1,0,1
"postsynaptic density protein 95 clustering",0,0,1,0,1
"extracellular regulation of signal transduction",0,0,1,0,1
"extracellular negative regulation of signal transduction",0,0,1,0,1
"liver development",0,0,1,0,1
"synaptic transmission, glutamatergic",0,0,1,0,1
"negative regulation of protein polymerization",0,0,1,0,1
"regulation of long-term neuronal synaptic plasticity",0,0,1,0,1
"regulation of small GTPase mediated signal transduction",0,0,1,0,1
"action potential",0,0,1,0,1
"monocarboxylic acid metabolic process",0,0,1,0,1
"cardiac ventricle morphogenesis",0,0,1,0,1
"negative regulation of cell-matrix adhesion",0,0,1,0,1
"negative regulation of actin filament bundle assembly",0,0,1,0,1
"long-chain fatty acid import across plasma membrane",0,0,1,0,1
"neuronal action potential propagation",0,0,1,0,1
"negative regulation of glial cell apoptotic process",0,0,1,0,1
"engulfment of apoptotic cell",0,0,1,0,1
"cellular response to X-ray",0,0,1,0,1
"fatty acid metabolic process",0,0,1,0,1
"fibroblast growth factor receptor signaling pathway",0,0,1,0,1
"negative regulation of cardiac muscle cell apoptotic process",0,0,1,0,1
"positive regulation of synaptic transmission, glutamatergic",0,0,1,0,1
"regulation of calcineurin-NFAT signaling cascade",0,0,1,0,1
"signaling receptor ligand precursor processing",0,0,1,0,1
"regulation of systemic arterial blood pressure",0,0,1,0,1
"insemination",0,0,1,0,1
"cyclooxygenase pathway",0,0,1,0,1
"cranial nerve structural organization",0,0,1,0,1
"action potential propagation",0,0,1,0,1
"negative regulation of motor neuron apoptotic process",0,0,1,0,1
"positive regulation of cytoskeleton organization",0,0,1,0,1
"regulation of calcineurin-mediated signaling",0,0,1,0,1
"positive regulation of excitatory postsynaptic potential",0,0,1,0,1
"hyperosmotic response",0,0,1,0,1
"negative regulation of cytokine-mediated signaling pathway",0,0,1,0,1
"regulation of bone mineralization",0,0,1,0,1
"muscle filament sliding",0,0,1,0,1
"neuronal ion channel clustering",0,0,1,0,1
"negative regulation of substrate adhesion-dependent cell spreading",0,0,1,0,1
"negative regulation of endothelial cell proliferation",0,0,1,0,1
"postsynaptic specialization assembly",0,0,1,0,1
"protein localization to membrane",0,0,1,0,1
"cellular response to oxygen levels",0,0,1,0,1
"antimicrobial humoral immune response mediated by antimicrobial peptide",0,0,1,0,1
"cell-cell adhesion via plasma-membrane adhesion molecules",0,0,1,0,1
"renal system process",0,0,1,0,1
"retinoid metabolic process",0,0,1,0,1
"regulation of dendrite development",0,0,1,0,1
"camera-type eye photoreceptor cell differentiation",0,0,1,0,1
"retina development in camera-type eye",0,0,1,0,1
"respiratory burst involved in defense response",0,0,1,0,1
"regulation of cell projection size",0,0,1,0,1
"short-chain fatty acid metabolic process",0,0,1,0,1
"cellular response to UV-B",0,0,1,0,1
"vascular associated smooth muscle cell development",0,0,1,0,1
"negative regulation of anoikis",0,0,1,0,1
"olefinic compound metabolic process",0,0,1,0,1
"diterpenoid metabolic process",0,0,1,0,1
"regulation of plasma membrane bounded cell projection assembly",0,0,1,0,1
"positive regulation of axonogenesis",0,0,1,0,1
"macrophage chemotaxis",0,0,1,0,1
"renal absorption",0,0,1,0,1
"cardiac chamber morphogenesis",0,0,1,0,1
"negative regulation of microtubule polymerization",0,0,1,0,1
"actin-myosin filament sliding",0,0,1,0,1
"negative regulation of calcineurin-NFAT signaling cascade",0,0,1,0,1
"modulation of inhibitory postsynaptic potential",0,0,1,0,1
"negative regulation of calcineurin-mediated signaling",0,0,1,0,1
"regulation of cell projection assembly",0,0,1,0,1
"regulation of macromolecule metabolic process",0,0,1,0,1
"regulation of fibroblast migration",0,0,1,0,1
"negative regulation of microtubule polymerization or depolymerization",0,0,1,0,1
"layer formation in cerebral cortex",0,0,1,0,1
"regulation of glial cell apoptotic process",0,0,1,0,1
"response to hyperoxia",0,0,1,0,1
"interneuron migration",0,0,1,0,1
"regulation of microtubule polymerization or depolymerization",0,0,1,0,1
"neuron recognition",0,0,1,0,1
"calcineurin-NFAT signaling cascade",0,0,1,0,1
"regulation of axon extension",0,0,1,0,1
"postsynaptic membrane organization",0,0,1,0,1
"retinol metabolic process",0,0,1,0,1
"establishment of endothelial barrier",0,0,1,0,1
"negative regulation of exit from mitosis",0,0,1,0,1
"negative regulation of chronic inflammatory response to non-antigenic stimulus",0,0,1,0,1
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",0,0,1,0,1
"fucose transmembrane transport",0,0,1,0,1
"spinal cord anterior/posterior patterning",0,0,1,0,1
"commissural neuron differentiation in spinal cord",0,0,1,0,1
"rhombomere formation",0,0,1,0,1
"rhombomere structural organization",0,0,1,0,1
"rhombomere 3 structural organization",0,0,1,0,1
"rhombomere 3 formation",0,0,1,0,1
"rhombomere 5 morphogenesis",0,0,1,0,1
"rhombomere 5 structural organization",0,0,1,0,1
"rhombomere 5 formation",0,0,1,0,1
"toll-like receptor 6 signaling pathway",0,0,1,0,1
"regulation of toll-like receptor 6 signaling pathway",0,0,1,0,1
"islet amyloid polypeptide processing",0,0,1,0,1
"positive regulation of complement activation, classical pathway",0,0,1,0,1
"2-oxobutyrate biosynthetic process",0,0,1,0,1
"negative regulation of dermatome development",0,0,1,0,1
"neuropeptide processing",0,0,1,0,1
"detection of lipoteichoic acid",0,0,1,0,1
"establishment of protein localization to juxtaparanode region of axon",0,0,1,0,1
"proximal straight tubule development",0,0,1,0,1
"descending thin limb development",0,0,1,0,1
"proximal convoluted tubule segment 2 development",0,0,1,0,1
"metanephric descending thin limb development",0,0,1,0,1
"metanephric proximal straight tubule development",0,0,1,0,1
"metanephric proximal convoluted tubule segment 2 development",0,0,1,0,1
"multiple spine synapse organization",0,0,1,0,1
"multiple spine synapse organization, single dendrite",0,0,1,0,1
"leukotriene D4 biosynthetic process",0,0,1,0,1
"regulation of lateral motor column neuron migration",0,0,1,0,1
"positive regulation of lateral motor column neuron migration",0,0,1,0,1
"positive regulation of early endosome to recycling endosome transport",0,0,1,0,1
"negative regulation of neurofibrillary tangle assembly",0,0,1,0,1
"regulation of C-C chemokine receptor CCR7 signaling pathway",0,0,1,0,1
"positive regulation of C-C chemokine receptor CCR7 signaling pathway",0,0,1,0,1
"negative regulation of microvillus assembly",0,0,1,0,1
"negative regulation of microglial cell mediated cytotoxicity",0,0,1,0,1
"regulation of thyroid gland epithelial cell proliferation",0,0,1,0,1
"negative regulation of thyroid gland epithelial cell proliferation",0,0,1,0,1
"regulation of motor neuron migration",0,0,1,0,1
"positive regulation of motor neuron migration",0,0,1,0,1
"positive regulation of synapse pruning",0,0,1,0,1
"fructose import across plasma membrane",0,0,1,0,1
"thyroid gland epithelial cell proliferation",0,0,1,0,1
"positive regulation of CD40 signaling pathway",0,0,1,0,1
"negative regulation of renal albumin absorption",0,0,1,0,1
"hippocampus development",0,0,1,0,1
"substrate adhesion-dependent cell spreading",0,0,1,0,1
"estrous cycle",0,0,1,0,1
"convergent extension",0,0,1,0,1
"cellular response to nitric oxide",0,0,1,0,1
"activation of GTPase activity",0,0,1,0,1
"Schwann cell differentiation",0,0,1,0,1
"trabecula morphogenesis",0,0,1,0,1
"tight junction organization",0,0,1,0,1
"regulation of microtubule cytoskeleton organization",0,0,1,0,1
"cerebral cortex cell migration",0,0,1,0,1
"camera-type eye morphogenesis",0,0,1,0,1
"short-term memory",0,0,1,0,1
"negative regulation of vasoconstriction",0,0,1,0,1
"positive regulation of digestive system process",0,0,1,0,1
"synapse pruning",0,0,1,0,1
"regulation of endothelial cell development",0,0,1,0,1
"regulation of establishment of endothelial barrier",0,0,1,0,1
"negative regulation of endothelial cell migration",0,0,1,0,1
"terpenoid metabolic process",0,0,1,0,1
"regulation of calcium-mediated signaling",0,0,1,0,1
"regulation of chondrocyte differentiation",0,0,1,0,1
"positive regulation of stress fiber assembly",0,0,1,0,1
"regulation of hydrolase activity",0,0,1,0,1
"regulation of biosynthetic process",0,0,1,0,1
"postsynaptic density organization",0,0,1,0,1
"negative regulation of fibroblast growth factor receptor signaling pathway",0,0,1,0,1
"peptide catabolic process",0,0,1,0,1
"fatty acid transmembrane transport",0,0,1,0,1
"cellular response to reactive nitrogen species",0,0,1,0,1
"negative regulation of amyloid-beta formation",0,0,1,0,1
"regulation of motor neuron apoptotic process",0,0,1,0,1
"cellular detoxification",0,0,1,0,1
"peptide metabolic process",0,0,1,0,1
"actin-mediated cell contraction",0,0,1,0,1
"regulation of microtubule polymerization",0,0,1,0,1
"calcineurin-mediated signaling",0,0,1,0,1
"macrophage activation involved in immune response",0,0,1,0,1
"activation of protein kinase activity",0,0,1,0,1
"negative regulation of vascular permeability",0,0,1,0,1
"negative regulation of amyloid precursor protein catabolic process",0,0,1,0,1
"leukocyte activation",0,0,0,1,1
"immune response",0,0,0,1,1
"regulation of gene expression",0,0,0,1,1
"regulation of immune response",0,0,0,1,1
"regulation of primary metabolic process",0,0,0,1,1
"positive regulation of cytokine production",0,0,0,1,1
"lymphocyte activation",0,0,0,1,1
"immune effector process",0,0,0,1,1
"response to cytokine",0,0,0,1,1
"positive regulation of immune response",0,0,0,1,1
"hemopoiesis",0,0,0,1,1
"response to peptide",0,0,0,1,1
"innate immune response",0,0,0,1,1
"defense response to other organism",0,0,0,1,1
"T cell activation",0,0,0,1,1
"immune response-regulating signaling pathway",0,0,0,1,1
"regulation of leukocyte activation",0,0,0,1,1
"defense response to symbiont",0,0,0,1,1
"positive regulation of programmed cell death",0,0,0,1,1
"leukocyte differentiation",0,0,0,1,1
"response to molecule of bacterial origin",0,0,0,1,1
"positive regulation of nucleobase-containing compound metabolic process",0,0,0,1,1
"activation of immune response",0,0,0,1,1
"positive regulation of DNA-templated transcription",0,0,0,1,1
"positive regulation of RNA biosynthetic process",0,0,0,1,1
"positive regulation of RNA metabolic process",0,0,0,1,1
"immune response-activating signaling pathway",0,0,0,1,1
"myeloid leukocyte activation",0,0,0,1,1
"regulation of immune effector process",0,0,0,1,1
"positive regulation of defense response",0,0,0,1,1
"response to lipopolysaccharide",0,0,0,1,1
"regulation of lymphocyte activation",0,0,0,1,1
"regulation of nucleobase-containing compound metabolic process",0,0,0,1,1
"cellular response to cytokine stimulus",0,0,0,1,1
"leukocyte cell-cell adhesion",0,0,0,1,1
"positive regulation of transcription by RNA polymerase II",0,0,0,1,1
"leukocyte activation involved in immune response",0,0,0,1,1
"cell activation involved in immune response",0,0,0,1,1
"regulation of response to biotic stimulus",0,0,0,1,1
"regulation of RNA metabolic process",0,0,0,1,1
"cytokine-mediated signaling pathway",0,0,0,1,1
"DNA-templated transcription",0,0,0,1,1
"regulation of leukocyte cell-cell adhesion",0,0,0,1,1
"immune response-regulating cell surface receptor signaling pathway",0,0,0,1,1
"regulation of DNA-templated transcription",0,0,0,1,1
"regulation of RNA biosynthetic process",0,0,0,1,1
"cellular response to oxygen-containing compound",0,0,0,1,1
"regulation of innate immune response",0,0,0,1,1
"positive regulation of cell-cell adhesion",0,0,0,1,1
"regulation of transcription by RNA polymerase II",0,0,0,1,1
"transcription by RNA polymerase II",0,0,0,1,1
"leukocyte mediated immunity",0,0,0,1,1
"positive regulation of leukocyte cell-cell adhesion",0,0,0,1,1
"mononuclear cell differentiation",0,0,0,1,1
"response to nitrogen compound",0,0,0,1,1
"alpha-beta T cell activation",0,0,0,1,1
"positive regulation of lymphocyte activation",0,0,0,1,1
"immune response-activating cell surface receptor signaling pathway",0,0,0,1,1
"positive regulation of response to biotic stimulus",0,0,0,1,1
"lymphocyte activation involved in immune response",0,0,0,1,1
"apoptotic signaling pathway",0,0,0,1,1
"regulation of T cell activation",0,0,0,1,1
"positive regulation of innate immune response",0,0,0,1,1
"canonical NF-kappaB signal transduction",0,0,0,1,1
"phosphorylation",0,0,0,1,1
"interleukin-1 production",0,0,0,1,1
"regulation of interleukin-1 production",0,0,0,1,1
"regulation of leukocyte mediated immunity",0,0,0,1,1
"T cell activation involved in immune response",0,0,0,1,1
"regulation of apoptotic signaling pathway",0,0,0,1,1
"regulation of hemopoiesis",0,0,0,1,1
"positive regulation of T cell activation",0,0,0,1,1
"lymphocyte differentiation",0,0,0,1,1
"negative regulation of immune system process",0,0,0,1,1
"positive regulation of immune effector process",0,0,0,1,1
"T cell differentiation",0,0,0,1,1
"positive regulation of MAPK cascade",0,0,0,1,1
"regulation of secretion",0,0,0,1,1
"regulation of secretion by cell",0,0,0,1,1
"embryo development",0,0,0,1,1
"myeloid cell differentiation",0,0,0,1,1
"response to interleukin-1",0,0,0,1,1
"interleukin-1 beta production",0,0,0,1,1
"regulation of interleukin-1 beta production",0,0,0,1,1
"cellular response to interleukin-1",0,0,0,1,1
"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,1,1
"cellular response to biotic stimulus",0,0,0,1,1
"cellular response to molecule of bacterial origin",0,0,0,1,1
"negative regulation of metabolic process",0,0,0,1,1
"myeloid leukocyte mediated immunity",0,0,0,1,1
"regulation of leukocyte differentiation",0,0,0,1,1
"protein phosphorylation",0,0,0,1,1
"phosphate-containing compound metabolic process",0,0,0,1,1
"adaptive immune response",0,0,0,1,1
"regulation of canonical NF-kappaB signal transduction",0,0,0,1,1
"phosphorus metabolic process",0,0,0,1,1
"interleukin-6 production",0,0,0,1,1
"regulation of interleukin-6 production",0,0,0,1,1
"transmembrane transport",0,0,0,1,1
"cellular response to lipopolysaccharide",0,0,0,1,1
"CD4-positive, alpha-beta T cell activation",0,0,0,1,1
"pattern recognition receptor signaling pathway",0,0,0,1,1
"production of molecular mediator of immune response",0,0,0,1,1
"leukocyte proliferation",0,0,0,1,1
"cellular response to lipid",0,0,0,1,1
"T cell differentiation involved in immune response",0,0,0,1,1
"neutrophil migration",0,0,0,1,1
"myeloid leukocyte differentiation",0,0,0,1,1
"granulocyte chemotaxis",0,0,0,1,1
"antigen receptor-mediated signaling pathway",0,0,0,1,1
"innate immune response-activating signaling pathway",0,0,0,1,1
"lymphocyte proliferation",0,0,0,1,1
"activation of innate immune response",0,0,0,1,1
"nitrogen compound transport",0,0,0,1,1
"alpha-beta T cell differentiation",0,0,0,1,1
"tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"regulation of tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"regulation of adaptive immune response",0,0,0,1,1
"regulation of leukocyte proliferation",0,0,0,1,1
"cytokine production involved in immune response",0,0,0,1,1
"regulation of cytokine production involved in immune response",0,0,0,1,1
"regulation of production of molecular mediator of immune response",0,0,0,1,1
"regulation of lymphocyte proliferation",0,0,0,1,1
"neutrophil mediated immunity",0,0,0,1,1
"multicellular organismal-level homeostasis",0,0,0,1,1
"mononuclear cell proliferation",0,0,0,1,1
"alpha-beta T cell activation involved in immune response",0,0,0,1,1
"embryonic morphogenesis",0,0,0,1,1
"regulation of protein modification process",0,0,0,1,1
"regulation of mononuclear cell proliferation",0,0,0,1,1
"positive regulation of canonical NF-kappaB signal transduction",0,0,0,1,1
"positive regulation of leukocyte proliferation",0,0,0,1,1
"negative regulation of transport",0,0,0,1,1
"intracellular protein localization",0,0,0,1,1
"macrophage activation",0,0,0,1,1
"response to peptide hormone",0,0,0,1,1
"non-canonical NF-kappaB signal transduction",0,0,0,1,1
"type II interferon production",0,0,0,1,1
"regulation of type II interferon production",0,0,0,1,1
"alpha-beta T cell differentiation involved in immune response",0,0,0,1,1
"tumor necrosis factor production",0,0,0,1,1
"regulation of tumor necrosis factor production",0,0,0,1,1
"ribosome biogenesis",0,0,0,1,1
"positive regulation of leukocyte differentiation",0,0,0,1,1
"positive regulation of hemopoiesis",0,0,0,1,1
"lymphocyte mediated immunity",0,0,0,1,1
"extrinsic apoptotic signaling pathway",0,0,0,1,1
"hormone transport",0,0,0,1,1
"negative regulation of cytokine production",0,0,0,1,1
"signal release",0,0,0,1,1
"heterotypic cell-cell adhesion",0,0,0,1,1
"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,0,0,1,1
"negative regulation of macromolecule metabolic process",0,0,0,1,1
"leukocyte degranulation",0,0,0,1,1
"regulation of cell cycle",0,0,0,1,1
"cell cycle",0,0,0,1,1
"positive regulation of type II interferon production",0,0,0,1,1
"T-helper 1 type immune response",0,0,0,1,1
"positive regulation of cytokine production involved in immune response",0,0,0,1,1
"T-helper cell differentiation",0,0,0,1,1
"negative regulation of immune response",0,0,0,1,1
"CD4-positive, alpha-beta T cell differentiation",0,0,0,1,1
"CD4-positive, alpha-beta T cell differentiation involved in immune response",0,0,0,1,1
"macromolecule modification",0,0,0,1,1
"embryo development ending in birth or egg hatching",0,0,0,1,1
"neutrophil chemotaxis",0,0,0,1,1
"regulation of hormone levels",0,0,0,1,1
"positive regulation of lymphocyte proliferation",0,0,0,1,1
"regulation of phosphorylation",0,0,0,1,1
"positive regulation of secretion",0,0,0,1,1
"vesicle-mediated transport",0,0,0,1,1
"positive regulation of secretion by cell",0,0,0,1,1
"intrinsic apoptotic signaling pathway",0,0,0,1,1
"positive regulation of mononuclear cell proliferation",0,0,0,1,1
"positive regulation of interleukin-1 production",0,0,0,1,1
"negative regulation of protein metabolic process",0,0,0,1,1
"interleukin-1-mediated signaling pathway",0,0,0,1,1
"regulation of myeloid cell differentiation",0,0,0,1,1
"temperature homeostasis",0,0,0,1,1
"negative regulation of biosynthetic process",0,0,0,1,1
"amide transport",0,0,0,1,1
"negative regulation of MAPK cascade",0,0,0,1,1
"negative regulation of macromolecule biosynthetic process",0,0,0,1,1
"cellular response to chemical stress",0,0,0,1,1
"negative regulation of apoptotic signaling pathway",0,0,0,1,1
"positive regulation of interleukin-1 beta production",0,0,0,1,1
"regulation of lymphocyte mediated immunity",0,0,0,1,1
"regulation of intrinsic apoptotic signaling pathway",0,0,0,1,1
"leukocyte mediated cytotoxicity",0,0,0,1,1
"hormone secretion",0,0,0,1,1
"positive regulation of interleukin-6 production",0,0,0,1,1
"regulation of protein localization",0,0,0,1,1
"chordate embryonic development",0,0,0,1,1
"regulation of response to cytokine stimulus",0,0,0,1,1
"negative regulation of nucleobase-containing compound metabolic process",0,0,0,1,1
"negative regulation of cell-cell adhesion",0,0,0,1,1
"regulation of neutrophil migration",0,0,0,1,1
"protein transport",0,0,0,1,1
"reactive oxygen species metabolic process",0,0,0,1,1
"regulation of extrinsic apoptotic signaling pathway",0,0,0,1,1
"regulation of reactive oxygen species metabolic process",0,0,0,1,1
"regulation of phagocytosis",0,0,0,1,1
"positive regulation of production of molecular mediator of immune response",0,0,0,1,1
"protein modification process",0,0,0,1,1
"cellular homeostasis",0,0,0,1,1
"response to temperature stimulus",0,0,0,1,1
"T cell mediated immunity",0,0,0,1,1
"toll-like receptor signaling pathway",0,0,0,1,1
"protein localization to extracellular region",0,0,0,1,1
"regionalization",0,0,0,1,1
"anterior/posterior pattern specification",0,0,0,1,1
"peptide transport",0,0,0,1,1
"neuroinflammatory response",0,0,0,1,1
"cell killing",0,0,0,1,1
"regulation of phosphate metabolic process",0,0,0,1,1
"protein secretion",0,0,0,1,1
"regulation of hormone secretion",0,0,0,1,1
"establishment of protein localization",0,0,0,1,1
"T cell receptor signaling pathway",0,0,0,1,1
"regulation of alpha-beta T cell activation",0,0,0,1,1
"regulation of protein phosphorylation",0,0,0,1,1
"regulation of phosphorus metabolic process",0,0,0,1,1
"establishment of protein localization to extracellular region",0,0,0,1,1
"cellular response to nitrogen compound",0,0,0,1,1
"regulation of protein transport",0,0,0,1,1
"regulation of peptide transport",0,0,0,1,1
"positive regulation of leukocyte mediated immunity",0,0,0,1,1
"positive regulation of response to cytokine stimulus",0,0,0,1,1
"regulation of lymphocyte apoptotic process",0,0,0,1,1
"positive regulation of tumor necrosis factor superfamily cytokine production",0,0,0,1,1
"negative regulation of defense response",0,0,0,1,1
"mast cell activation",0,0,0,1,1
"negative regulation of RNA metabolic process",0,0,0,1,1
"interleukin-8 production",0,0,0,1,1
"regulation of interleukin-8 production",0,0,0,1,1
"intracellular chemical homeostasis",0,0,0,1,1
"collagen biosynthetic process",0,0,0,1,1
"regulation of T cell proliferation",0,0,0,1,1
"defense response to bacterium",0,0,0,1,1
"regulation of establishment of protein localization",0,0,0,1,1
"negative regulation of interleukin-12 production",0,0,0,1,1
"osteoclast differentiation",0,0,0,1,1
"positive regulation of lymphocyte differentiation",0,0,0,1,1
"regulation of CD4-positive, alpha-beta T cell activation",0,0,0,1,1
"neutrophil activation",0,0,0,1,1
"gland development",0,0,0,1,1
"pattern specification process",0,0,0,1,1
"negative regulation of DNA-templated transcription",0,0,0,1,1
"regulation of peptide secretion",0,0,0,1,1
"chemokine production",0,0,0,1,1
"regulation of chemokine production",0,0,0,1,1
"peptide secretion",0,0,0,1,1
"T cell proliferation",0,0,0,1,1
"negative regulation of RNA biosynthetic process",0,0,0,1,1
"positive regulation of T cell differentiation",0,0,0,1,1
"regulation of lymphocyte differentiation",0,0,0,1,1
"positive regulation of apoptotic signaling pathway",0,0,0,1,1
"skeletal system morphogenesis",0,0,0,1,1
"regulation of leukocyte apoptotic process",0,0,0,1,1
"neutrophil mediated cytotoxicity",0,0,0,1,1
"mitotic cell cycle",0,0,0,1,1
"response to radiation",0,0,0,1,1
"positive regulation of tumor necrosis factor production",0,0,0,1,1
"monoatomic cation transmembrane transport",0,0,0,1,1
"response to fungus",0,0,0,1,1
"epithelial to mesenchymal transition",0,0,0,1,1
"monoatomic ion transmembrane transport",0,0,0,1,1
"T cell cytokine production",0,0,0,1,1
"regulation of T cell cytokine production",0,0,0,1,1
"positive regulation of smooth muscle cell proliferation",0,0,0,1,1
"positive regulation of neutrophil migration",0,0,0,1,1
"rRNA processing",0,0,0,1,1
"regulation of neutrophil mediated cytotoxicity",0,0,0,1,1
"small molecule metabolic process",0,0,0,1,1
"glial cell activation",0,0,0,1,1
"regulation of T cell differentiation",0,0,0,1,1
"response to heat",0,0,0,1,1
"cold-induced thermogenesis",0,0,0,1,1
"defense response to fungus",0,0,0,1,1
"smooth muscle cell proliferation",0,0,0,1,1
"regulation of protein secretion",0,0,0,1,1
"positive regulation of protein modification process",0,0,0,1,1
"response to osmotic stress",0,0,0,1,1
"inorganic cation transmembrane transport",0,0,0,1,1
"peptidyl-amino acid modification",0,0,0,1,1
"response to reactive oxygen species",0,0,0,1,1
"negative regulation of transcription by RNA polymerase II",0,0,0,1,1
"interleukin-12 production",0,0,0,1,1
"regulation of interleukin-12 production",0,0,0,1,1
"regulation of organic acid transport",0,0,0,1,1
"Fc-gamma receptor signaling pathway",0,0,0,1,1
"positive regulation of chemokine production",0,0,0,1,1
"regulation of cytokine-mediated signaling pathway",0,0,0,1,1
"collagen metabolic process",0,0,0,1,1
"regulated exocytosis",0,0,0,1,1
"regulation of smooth muscle cell proliferation",0,0,0,1,1
"regulation of myeloid leukocyte mediated immunity",0,0,0,1,1
"cellular response to hormone stimulus",0,0,0,1,1
"natural killer cell mediated immunity",0,0,0,1,1
"positive regulation of phagocytosis",0,0,0,1,1
"response to insulin",0,0,0,1,1
"calcium ion transport",0,0,0,1,1
"small molecule biosynthetic process",0,0,0,1,1
"rRNA metabolic process",0,0,0,1,1
"regulation of T cell mediated immunity",0,0,0,1,1
"cell cycle process",0,0,0,1,1
"regulation of heterotypic cell-cell adhesion",0,0,0,1,1
"Fc receptor signaling pathway",0,0,0,1,1
"positive regulation of CD4-positive, alpha-beta T cell activation",0,0,0,1,1
"JNK cascade",0,0,0,1,1
"exocytosis",0,0,0,1,1
"regulation of transmembrane transport",0,0,0,1,1
"CD4-positive, alpha-beta T cell cytokine production",0,0,0,1,1
"monoatomic ion homeostasis",0,0,0,1,1
"regulation of pattern recognition receptor signaling pathway",0,0,0,1,1
"leukocyte apoptotic process",0,0,0,1,1
"positive regulation of B cell proliferation",0,0,0,1,1
"monoatomic cation homeostasis",0,0,0,1,1
"regulation of collagen biosynthetic process",0,0,0,1,1
"myeloid cell activation involved in immune response",0,0,0,1,1
"regulation of nitric oxide metabolic process",0,0,0,1,1
"peptide hormone secretion",0,0,0,1,1
"regulation of transferase activity",0,0,0,1,1
"B cell activation",0,0,0,1,1
"negative regulation of protein processing",0,0,0,1,1
"negative regulation of protein maturation",0,0,0,1,1
"catabolic process",0,0,0,1,1
"lipopolysaccharide-mediated signaling pathway",0,0,0,1,1
"interleukin-2 production",0,0,0,1,1
"regulation of interleukin-2 production",0,0,0,1,1
"regulation of endocytosis",0,0,0,1,1
"lymphocyte apoptotic process",0,0,0,1,1
"granulocyte activation",0,0,0,1,1
"muscle cell proliferation",0,0,0,1,1
"negative regulation of immune effector process",0,0,0,1,1
"negative regulation of cell activation",0,0,0,1,1
"B cell proliferation",0,0,0,1,1
"regulation of muscle system process",0,0,0,1,1
"regulation of peptide hormone secretion",0,0,0,1,1
"positive regulation of extrinsic apoptotic signaling pathway",0,0,0,1,1
"ribosomal small subunit biogenesis",0,0,0,1,1
"negative regulation of hormone secretion",0,0,0,1,1
"cytokine production involved in inflammatory response",0,0,0,1,1
"regulation of cytokine production involved in inflammatory response",0,0,0,1,1
"positive regulation of endocytosis",0,0,0,1,1
"regulation of molecular function",0,0,0,1,1
"negative regulation of secretion",0,0,0,1,1
"positive regulation of nitric oxide metabolic process",0,0,0,1,1
"negative regulation of leukocyte activation",0,0,0,1,1
"regulation of blood circulation",0,0,0,1,1
"positive regulation of alpha-beta T cell activation",0,0,0,1,1
"regulation of muscle cell apoptotic process",0,0,0,1,1
"protein complex oligomerization",0,0,0,1,1
"T-helper 17 type immune response",0,0,0,1,1
